,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 26, 2023",761.29,765.94,758.95,764.84,764.84,"147,624,985"
1,"May 25, 2023",762.06,764.78,756.94,762.16,762.16,"165,712,800"
2,"May 24, 2023",773.43,773.68,767.33,768.05,768.05,"128,804,700"
3,"May 23, 2023",776.58,776.58,771.93,773.06,773.06,"137,650,500"
4,"May 22, 2023",789.8,789.8,777.94,778.59,778.59,"134,853,500"
5,"May 19, 2023",791.76,792.19,786.98,790.19,790.19,"133,463,700"
6,"May 18, 2023",790.71,792.12,785.15,790.14,790.14,"142,190,900"
7,"May 17, 2023",796.1,796.53,788.96,793.66,793.66,"134,992,700"
8,"May 16, 2023",798.98,799.71,793.23,794.47,794.47,"121,077,400"
9,"May 15, 2023",805.67,805.92,798.11,801.49,801.49,"107,382,700"
10,"May 12, 2023",800.86,803.9,799.7,803.68,803.68,"106,434,800"
11,"May 11, 2023",798.79,801.15,793.75,800.82,800.82,"107,415,600"
12,"May 10, 2023",800.58,803.21,792.7,798.32,798.32,"127,019,500"
13,"May 09, 2023",801.05,801.97,797.97,799.5,799.5,"116,585,500"
14,"May 08, 2023",802.17,802.68,799.02,801.94,801.94,"130,652,100"
15,"May 05, 2023",797.12,804.55,796.91,803.74,803.74,"120,456,200"
16,"May 04, 2023",800.28,800.41,794.0,796.63,796.63,"137,327,000"
17,"May 03, 2023",803.14,805.81,798.65,798.98,798.98,"172,357,900"
18,"May 02, 2023",807.0,807.4,797.12,805.32,805.32,"144,457,300"
19,"May 01, 2023",806.85,811.16,805.74,807.92,807.92,"118,634,200"
20,"Apr 28, 2023",804.52,808.53,803.61,807.2,807.2,"163,299,200"
21,"Apr 27, 2023",794.14,803.88,794.14,803.31,803.31,"131,760,100"
22,"Apr 26, 2023",796.85,800.22,794.4,795.05,795.05,"116,318,000"
23,"Apr 25, 2023",802.96,807.19,800.19,800.94,800.94,"132,248,000"
24,"Apr 24, 2023",799.89,802.51,799.47,801.87,801.87,"110,262,900"
25,"Apr 21, 2023",799.42,802.85,796.93,798.68,798.68,"139,722,000"
26,"Apr 20, 2023",788.81,794.81,788.67,792.75,792.75,"118,291,100"
27,"Apr 19, 2023",794.11,794.62,790.36,792.29,792.29,"97,659,000"
28,"Apr 18, 2023",790.44,793.36,787.87,792.68,792.68,"96,598,700"
29,"Apr 17, 2023",787.67,790.14,785.82,790.1,790.1,"100,012,700"
30,"Apr 14, 2023",788.35,791.42,783.26,785.47,785.47,"100,713,800"
31,"Apr 13, 2023",786.56,790.64,782.77,790.06,790.06,"112,266,900"
32,"Apr 12, 2023",788.74,791.9,784.83,785.7,785.7,"115,804,400"
33,"Apr 11, 2023",788.44,791.45,788.16,789.24,789.24,"110,612,000"
34,"Apr 10, 2023",784.46,787.36,780.04,787.34,787.34,"100,824,500"
35,"Apr 06, 2023",784.89,788.89,782.72,787.45,787.45,"119,058,000"
36,"Apr 05, 2023",785.28,789.72,785.28,786.82,786.82,"148,120,500"
37,"Apr 04, 2023",784.63,787.22,781.03,782.48,782.48,"124,072,600"
38,"Apr 03, 2023",781.06,785.93,778.24,784.39,784.39,"134,802,900"
39,"Mar 31, 2023",777.72,780.43,776.75,780.38,780.38,"140,006,300"
40,"Mar 30, 2023",774.22,775.99,771.47,773.93,773.93,"114,300,800"
41,"Mar 29, 2023",771.44,771.74,769.34,771.29,771.29,"115,660,000"
42,"Mar 28, 2023",766.2,771.2,766.01,767.18,767.18,"120,808,600"
43,"Mar 27, 2023",764.8,768.98,764.8,765.48,765.48,"131,509,700"
44,"Mar 24, 2023",750.92,761.96,750.65,761.34,761.34,"131,464,800"
45,"Mar 23, 2023",753.13,756.38,746.26,749.13,749.13,"149,371,800"
46,"Mar 22, 2023",759.96,763.71,752.31,752.38,752.38,"126,338,600"
47,"Mar 21, 2023",763.1,763.41,754.63,759.84,759.84,"140,404,800"
48,"Mar 20, 2023",753.8,761.28,753.8,760.78,760.78,"148,400,300"
49,"Mar 17, 2023",754.91,755.03,746.65,750.63,750.63,"277,877,400"
50,"Mar 16, 2023",754.24,756.02,750.08,755.19,755.19,"142,661,600"
51,"Mar 15, 2023",745.98,756.48,744.59,755.75,755.75,"156,832,300"
52,"Mar 14, 2023",746.79,751.29,743.79,750.65,750.65,"142,676,300"
53,"Mar 13, 2023",740.56,755.65,740.56,744.68,744.68,"159,935,700"
54,"Mar 10, 2023",746.14,748.91,738.23,741.17,741.17,"119,123,700"
55,"Mar 09, 2023",754.76,755.31,742.54,744.56,744.56,"111,493,700"
56,"Mar 08, 2023",750.47,752.37,747.12,751.67,751.67,"108,134,000"
57,"Mar 07, 2023",758.94,760.78,749.33,750.78,750.78,"121,265,300"
58,"Mar 06, 2023",753.87,759.03,753.74,758.17,758.17,"113,595,000"
59,"Mar 03, 2023",754.61,756.5,749.13,755.69,755.69,"110,100,900"
60,"Mar 02, 2023",745.46,756.77,744.86,755.09,755.09,"116,296,900"
61,"Mar 01, 2023",749.12,750.0,740.32,746.03,746.03,"120,357,100"
62,"Feb 28, 2023",753.96,755.86,751.09,751.73,751.73,"153,512,100"
63,"Feb 27, 2023",762.23,764.16,755.9,757.41,757.41,"103,971,200"
64,"Feb 24, 2023",758.55,759.88,753.78,758.81,758.81,"94,644,700"
65,"Feb 23, 2023",765.66,767.3,758.8,763.31,763.31,"100,592,200"
66,"Feb 22, 2023",767.98,772.45,762.96,764.96,764.96,"117,052,900"
67,"Feb 21, 2023",765.69,770.81,762.69,767.01,767.01,"141,715,300"
68,"Feb 17, 2023",760.04,769.9,759.59,769.6,769.6,"126,658,200"
69,"Feb 16, 2023",760.54,764.57,755.84,759.8,759.8,"114,767,700"
70,"Feb 15, 2023",762.94,765.96,759.66,765.89,765.89,"100,535,400"
71,"Feb 14, 2023",771.06,771.26,762.05,764.47,764.47,"112,678,200"
72,"Feb 13, 2023",764.99,771.77,764.99,771.64,771.64,"105,927,100"
73,"Feb 10, 2023",757.28,763.09,753.96,762.7,762.7,"116,012,500"
74,"Feb 09, 2023",763.37,764.94,754.59,755.67,755.67,"113,095,300"
75,"Feb 08, 2023",760.7,761.19,756.99,757.91,757.91,"105,709,900"
76,"Feb 07, 2023",761.07,765.51,756.35,764.28,764.28,"125,719,200"
77,"Feb 06, 2023",766.19,768.41,764.36,767.03,767.03,"123,002,300"
78,"Feb 03, 2023",771.47,771.76,761.55,766.84,766.84,"130,650,300"
79,"Feb 02, 2023",773.67,775.23,766.73,770.11,770.11,"144,628,100"
80,"Feb 01, 2023",769.96,780.35,766.99,776.77,776.77,"129,549,000"
81,"Jan 31, 2023",764.61,770.92,762.15,770.91,770.91,"149,400,700"
82,"Jan 30, 2023",761.35,767.97,761.11,762.71,762.71,"122,273,600"
83,"Jan 27, 2023",763.7,765.78,758.5,762.14,762.14,"129,777,000"
84,"Jan 26, 2023",765.91,765.91,761.54,764.07,764.07,"111,068,200"
85,"Jan 25, 2023",760.57,766.2,756.07,766.19,766.19,"113,128,900"
86,"Jan 24, 2023",767.08,768.16,756.72,764.03,764.03,"104,524,100"
87,"Jan 23, 2023",759.88,765.18,757.99,761.11,761.11,"111,786,000"
88,"Jan 20, 2023",753.24,758.9,748.17,758.85,758.85,"154,760,100"
89,"Jan 19, 2023",760.38,760.6,752.6,752.72,752.72,"132,126,100"
90,"Jan 18, 2023",778.89,779.26,759.43,760.45,760.45,"157,897,600"
91,"Jan 17, 2023",783.43,787.83,780.39,781.17,781.17,"131,064,500"
92,"Jan 13, 2023",775.76,781.4,775.42,781.2,781.2,"99,361,200"
93,"Jan 12, 2023",785.25,785.69,775.8,777.62,777.62,"110,175,500"
94,"Jan 11, 2023",786.24,788.12,777.19,783.83,783.83,"118,318,800"
95,"Jan 10, 2023",785.16,786.32,780.68,783.33,783.33,"97,917,900"
96,"Jan 09, 2023",791.53,797.27,784.44,784.59,784.59,"116,272,700"
97,"Jan 06, 2023",779.77,795.62,779.77,792.74,792.74,"125,464,600"
98,"Jan 05, 2023",777.34,778.4,770.22,771.85,771.85,"133,500,200"
99,"Jan 04, 2023",778.42,783.93,774.62,779.53,779.53,"124,462,100"
100,"Jan 03, 2023",779.97,779.97,768.77,777.29,777.29,"110,767,300"
101,"Dec 30, 2022",781.17,781.55,773.41,779.13,779.13,"79,283,600"
102,"Dec 29, 2022",782.54,785.37,781.45,782.78,782.78,"70,792,900"
103,"Dec 28, 2022",791.3,792.56,779.43,779.62,779.62,"73,572,600"
104,"Dec 27, 2022",788.36,790.96,785.3,789.55,789.55,"81,716,700"
105,"Dec 23, 2022",781.59,786.27,779.51,785.87,785.87,"65,881,700"
106,"Dec 22, 2022",781.98,782.12,773.23,781.76,781.76,"93,347,400"
107,"Dec 21, 2022",779.77,786.8,779.41,784.02,784.02,"100,955,000"
108,"Dec 20, 2022",776.21,780.34,772.99,777.64,777.64,"109,214,500"
109,"Dec 19, 2022",778.86,784.09,773.02,777.78,777.78,"114,403,300"
110,"Dec 16, 2022",777.64,780.58,771.71,778.1,778.1,"277,563,300"
111,"Dec 15, 2022",789.54,790.92,776.34,782.22,782.22,"130,458,400"
112,"Dec 14, 2022",797.67,803.24,791.15,795.43,795.43,"125,807,400"
113,"Dec 13, 2022",806.73,806.73,791.57,796.01,796.01,"144,113,600"
114,"Dec 12, 2022",791.28,797.56,788.28,797.34,797.34,"104,983,800"
115,"Dec 09, 2022",792.92,794.79,788.96,789.18,789.18,"117,775,500"
116,"Dec 08, 2022",790.5,795.38,789.08,795.26,795.26,"97,630,200"
117,"Dec 07, 2022",790.08,793.72,788.98,791.81,791.81,"118,473,600"
118,"Dec 06, 2022",796.0,797.72,785.02,788.85,788.85,"111,179,000"
119,"Dec 05, 2022",795.9,796.38,792.28,794.23,794.23,"115,058,700"
120,"Dec 02, 2022",794.98,804.75,793.66,803.89,803.89,"108,465,900"
121,"Dec 01, 2022",801.6,802.35,796.44,800.38,800.38,"132,324,500"
122,"Nov 30, 2022",787.79,804.18,784.18,804.18,804.18,"212,947,500"
123,"Nov 29, 2022",790.85,791.87,785.56,789.76,789.76,"96,068,800"
124,"Nov 28, 2022",793.61,796.89,791.67,792.68,792.68,"105,353,000"
125,"Nov 25, 2022",794.82,795.71,793.73,795.14,795.14,"47,775,900"
126,"Nov 23, 2022",793.56,795.99,791.83,794.68,794.68,"81,044,000"
127,"Nov 22, 2022",791.73,792.43,789.24,792.03,792.03,"101,295,300"
128,"Nov 21, 2022",780.6,787.58,779.26,786.39,786.39,"115,682,000"
129,"Nov 18, 2022",776.65,779.9,773.89,778.78,778.78,"116,182,400"
130,"Nov 17, 2022",766.16,770.98,764.57,770.79,770.79,"104,980,600"
131,"Nov 16, 2022",769.4,774.71,768.86,770.67,770.67,"118,140,600"
132,"Nov 15, 2022",769.52,772.87,761.69,767.14,767.14,"145,751,500"
133,"Nov 14, 2022",766.03,771.29,758.73,758.89,758.89,"141,995,800"
