Date,Price,Open,High,Low,Vol.,Change %
05/31/2023,327.97,325.31,329.35,323.0,182.05M,0.96%
05/30/2023,324.86,326.58,328.37,324.47,113.20M,-0.39%
05/26/2023,326.13,325.94,326.39,322.96,98.04M,-0.10%
05/25/2023,326.45,330.08,330.08,324.25,104.56M,-1.38%
05/24/2023,331.01,332.83,333.67,330.48,90.54M,-0.63%
05/23/2023,333.1,333.14,336.43,332.39,108.41M,-0.34%
05/22/2023,334.24,335.33,336.73,333.18,87.21M,0.03%
05/19/2023,334.15,336.16,338.11,334.04,108.60M,-0.17%
05/18/2023,334.71,333.51,335.04,331.89,105.89M,-0.36%
05/17/2023,335.92,337.74,338.15,334.5,95.94M,-0.36%
05/16/2023,337.12,345.04,345.15,336.98,103.13M,-2.30%
05/15/2023,345.04,350.72,351.13,343.57,99.34M,-1.24%
05/12/2023,349.38,349.74,351.54,347.31,97.92M,0.44%
05/11/2023,347.84,350.74,351.55,346.28,92.09M,-1.14%
05/10/2023,351.86,350.77,352.69,348.32,92.47M,0.94%
05/09/2023,348.57,348.39,349.53,346.19,101.78M,-0.20%
05/08/2023,349.28,349.82,352.4,348.12,87.24M,-0.33%
05/05/2023,350.42,347.23,351.2,347.03,90.69M,0.66%
05/04/2023,348.11,346.1,349.45,342.96,109.67M,0.73%
05/03/2023,345.58,348.57,350.18,345.21,90.08M,-0.31%
05/02/2023,346.67,351.25,351.25,344.69,113.18M,-1.23%
05/01/2023,350.98,349.59,354.27,349.42,103.19M,0.21%
04/28/2023,350.26,350.17,352.35,348.17,91.04M,-0.19%
04/27/2023,350.94,347.82,351.19,347.55,79.88M,1.20%
04/26/2023,346.78,352.29,353.52,346.45,89.47M,-2.37%
04/25/2023,355.2,354.61,357.07,354.18,71.07M,-0.10%
04/24/2023,355.54,353.76,356.12,351.6,73.29M,0.50%
04/21/2023,353.78,355.06,356.05,351.73,69.82M,0.30%
04/20/2023,352.72,352.87,353.92,350.75,67.56M,-0.05%
04/19/2023,352.91,350.99,353.81,350.59,62.92M,0.78%
04/18/2023,350.17,351.78,352.74,348.84,87.49M,-0.51%
04/17/2023,351.97,350.84,352.48,348.45,75.90M,0.57%
04/14/2023,349.97,350.9,352.03,348.42,78.62M,-1.11%
04/13/2023,353.91,352.26,354.92,347.3,91.51M,0.02%
04/12/2023,353.83,354.94,356.46,352.77,123.88M,-0.12%
04/11/2023,354.24,353.73,355.24,352.56,72.45M,0.06%
04/10/2023,354.01,352.75,354.04,349.19,70.14M,-0.20%
04/06/2023,354.72,354.21,355.27,351.16,90.09M,0.74%
04/05/2023,352.13,345.29,353.15,345.29,97.70M,2.57%
04/04/2023,343.3,341.59,343.88,340.51,80.52M,0.52%
04/03/2023,341.52,342.19,344.06,339.7,95.77M,-0.72%
03/31/2023,344.01,342.24,344.05,340.57,111.87M,0.76%
03/30/2023,341.42,340.97,343.02,339.49,90.12M,0.41%
03/29/2023,340.04,337.07,340.52,337.07,88.46M,1.44%
03/28/2023,335.22,333.96,338.63,333.73,74.82M,0.29%
