,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
0,831.07,762.27,754.13,828.48,756.55,"164,164,200",2023-05-30,-2.590000000000032
1,826.17,765.94,758.95,830.39,764.84,"147,625,000",2023-05-26,4.220000000000027
2,821.42,764.78,756.94,824.03,762.16,"165,712,800",2023-05-25,2.6100000000000136
3,829.92,773.68,767.33,821.53,768.05,"128,804,700",2023-05-24,-8.389999999999986
4,838.55,776.58,771.93,832.07,773.06,"137,650,500",2023-05-23,-6.4799999999999045
5,843.31,789.80,777.94,842.45,778.59,"134,853,500",2023-05-22,-0.8599999999999
6,849.34,792.19,786.98,842.42,790.19,"133,463,700",2023-05-19,-6.920000000000073
7,837.15,792.12,785.15,844.69,790.14,"142,190,900",2023-05-18,7.540000000000077
8,829.78,796.53,788.96,839.09,793.66,"134,992,700",2023-05-17,9.31000000000006
9,832.67,799.71,793.23,825.06,794.47,"121,077,400",2023-05-16,-7.610000000000014
10,832.64,805.92,798.11,836.46,801.49,"107,382,700",2023-05-15,3.82000000000005
11,835.76,803.90,799.70,832.24,803.68,"106,434,800",2023-05-12,-3.519999999999982
12,833.3,801.15,793.75,832.15,800.82,"107,415,600",2023-05-11,-1.1499999999999773
13,845.43,803.21,792.70,837.56,798.32,"127,019,500",2023-05-10,-7.8700000000000045
14,837.89,801.97,797.97,840.28,799.50,"116,585,500",2023-05-09,2.3899999999999864
15,845.12,802.68,799.02,838.82,801.94,"130,652,100",2023-05-08,-6.2999999999999545
16,836.59,804.55,796.91,841.93,803.74,"120,456,200",2023-05-05,5.339999999999918
17,838.4,800.41,794.00,829.44,796.63,"137,327,000",2023-05-04,-8.959999999999923
18,845.53,805.81,798.65,838.62,798.98,"172,357,900",2023-05-03,-6.909999999999968
19,848.49,807.40,797.12,841.85,805.32,"144,457,300",2023-05-02,-6.639999999999986
20,846.72,811.16,805.74,850.77,807.92,"118,634,200",2023-05-01,4.0499999999999545
21,837.63,808.53,803.61,846.11,807.20,"163,299,200",2023-04-28,8.480000000000018
22,825.09,803.88,794.14,838.37,803.31,"131,760,100",2023-04-27,13.279999999999973
23,831.84,800.22,794.40,822.05,795.05,"116,318,000",2023-04-26,-9.790000000000077
24,848.16,807.19,800.19,837.71,800.94,"132,248,000",2023-04-25,-10.449999999999932
25,852.28,802.51,799.47,853.37,801.87,"110,262,900",2023-04-24,1.0900000000000318
26,855.53,802.85,796.93,851.44,798.68,"139,722,000",2023-04-21,-4.089999999999918
27,851.15,794.81,788.67,853.51,792.75,"118,291,100",2023-04-20,2.3600000000000136
28,853.84,794.62,790.36,855.09,792.29,"97,659,000",2023-04-19,1.25
29,855.37,793.36,787.87,855.69,792.68,"96,598,700",2023-04-18,0.32000000000005
30,847.39,790.14,785.82,851.74,790.10,"100,012,700",2023-04-17,4.350000000000023
31,843.35,791.42,783.26,845.07,785.47,"100,713,800",2023-04-14,1.7200000000000273
32,842.97,790.64,782.77,846.09,790.06,"112,266,900",2023-04-13,3.1200000000000045
33,843.95,791.90,784.83,842.91,785.70,"115,804,400",2023-04-12,-1.0400000000000773
34,838.03,791.45,788.16,840.11,789.24,"110,612,000",2023-04-11,2.080000000000041
35,825.46,787.36,780.04,835.19,787.34,"100,824,500",2023-04-10,9.730000000000018
36,827.63,788.89,782.72,827.76,787.45,"119,058,000",2023-04-06,0.12999999999999545
37,835.83,789.72,785.28,827.97,786.82,"148,120,500",2023-04-05,-7.860000000000014
38,857.8,787.22,781.03,838.88,782.48,"124,072,600",2023-04-04,-18.91999999999996
39,854.39,785.93,778.24,858.21,784.39,"134,802,900",2023-04-03,3.82000000000005
40,849.49,780.43,776.75,856.59,780.38,"140,006,300",2023-03-31,7.100000000000023
41,847.75,775.99,771.47,845.47,773.93,"114,300,800",2023-03-30,-2.2799999999999727
42,838.3,771.74,769.34,843.55,771.29,"115,660,000",2023-03-29,5.25
43,827.6,771.20,766.01,831.74,767.18,"120,808,600",2023-03-28,4.139999999999986
44,826.12,768.98,764.80,827.24,765.48,"131,509,700",2023-03-27,1.1200000000000045
45,812.23,761.96,750.65,820.48,761.34,"131,464,800",2023-03-24,8.25
46,820.69,756.38,746.26,817.61,749.13,"149,371,800",2023-03-23,-3.080000000000041
47,835.32,763.71,752.31,819.46,752.38,"126,338,600",2023-03-22,-15.860000000000014
48,835.25,763.41,754.63,835.38,759.84,"140,404,800",2023-03-21,0.12999999999999545
49,819.06,761.28,753.80,826.06,760.78,"148,400,300",2023-03-20,7.0
50,826.81,755.03,746.65,815.0,750.63,"277,877,400",2023-03-17,-11.809999999999945
51,813.39,756.02,750.08,828.48,755.19,"142,661,600",2023-03-16,15.090000000000032
52,825.44,756.48,744.59,818.08,755.75,"156,832,300",2023-03-15,-7.360000000000014
53,841.26,751.29,743.79,839.14,750.65,"142,676,300",2023-03-14,-2.1200000000000045
54,825.65,755.65,740.56,830.38,744.68,"159,935,700",2023-03-13,4.730000000000018
55,850.18,748.91,738.23,835.48,741.17,"119,123,700",2023-03-10,-14.699999999999932
56,868.05,755.31,742.54,851.0,744.56,"111,493,700",2023-03-09,-17.049999999999955
57,862.69,752.37,747.12,863.67,751.67,"108,134,000",2023-03-08,0.9799999999999045
58,872.76,760.78,749.33,861.7,750.78,"121,265,300",2023-03-07,-11.059999999999945
59,874.28,759.03,753.74,872.77,758.17,"113,595,000",2023-03-06,-1.509999999999991
60,868.32,756.50,749.13,874.52,755.69,"110,100,900",2023-03-03,6.199999999999932
61,851.31,756.77,744.86,865.34,755.09,"116,296,900",2023-03-02,14.030000000000086
62,851.31,750.00,740.32,855.08,746.03,"120,357,100",2023-03-01,3.7700000000000955
63,852.77,755.86,751.09,851.88,751.73,"153,512,100",2023-02-28,-0.8899999999999864
64,857.41,764.16,755.90,854.04,757.41,"103,971,200",2023-02-27,-3.3700000000000045
65,843.46,759.88,753.78,846.99,758.81,"94,644,700",2023-02-24,3.5299999999999727
66,852.89,767.30,758.80,851.92,763.31,"100,592,200",2023-02-23,-0.9700000000000273
67,851.55,772.45,762.96,848.54,764.96,"117,052,900",2023-02-22,-3.009999999999991
68,864.88,770.81,762.69,850.77,767.01,"141,715,300",2023-02-21,-14.110000000000014
69,865.02,769.90,759.59,870.74,769.60,"126,658,200",2023-02-17,5.720000000000027
70,865.09,764.57,755.84,865.28,759.80,"114,767,700",2023-02-16,0.18999999999994088
71,864.71,765.96,759.66,874.82,765.89,"100,535,400",2023-02-15,10.110000000000014
72,869.13,771.26,762.05,869.36,764.47,"112,678,200",2023-02-14,0.2300000000000182
73,865.0,771.77,764.99,871.83,771.64,"105,927,100",2023-02-13,6.830000000000041
74,856.78,763.09,753.96,864.22,762.70,"116,012,500",2023-02-10,7.440000000000055
75,870.07,764.94,754.59,857.89,755.67,"113,095,300",2023-02-09,-12.180000000000064
76,867.35,761.19,756.99,865.51,757.91,"105,709,900",2023-02-08,-1.8400000000000318
77,865.91,765.51,756.35,870.62,764.28,"125,719,200",2023-02-07,4.710000000000036
78,867.58,768.41,764.36,868.47,767.03,"123,002,300",2023-02-06,0.8899999999999864
79,870.06,771.76,761.55,870.28,766.84,"130,650,300",2023-02-03,0.22000000000002728
80,868.73,775.23,766.73,874.82,770.11,"144,628,100",2023-02-02,6.090000000000032
81,858.62,780.35,766.99,868.1,776.77,"129,549,000",2023-02-01,9.480000000000018
82,849.64,770.92,762.15,861.96,770.91,"149,400,700",2023-01-31,12.32000000000005
83,852.12,767.97,761.11,847.44,762.71,"122,273,600",2023-01-30,-4.67999999999995
84,851.26,765.78,758.50,855.73,762.14,"129,777,000",2023-01-27,4.470000000000027
85,851.6,765.91,761.54,852.73,764.07,"111,068,200",2023-01-26,1.1299999999999955
86,844.13,766.20,756.07,848.01,766.19,"113,128,900",2023-01-25,3.8799999999999955
87,845.36,768.16,756.72,852.53,764.03,"104,524,100",2023-01-24,7.169999999999959
88,839.53,765.18,757.99,847.05,761.11,"111,786,000",2023-01-23,7.519999999999982
89,828.07,758.90,748.17,837.89,758.85,"154,760,100",2023-01-20,9.819999999999936
90,839.04,760.60,752.60,826.29,752.72,"132,126,100",2023-01-19,-12.75
91,862.2,779.26,759.43,843.87,760.45,"157,897,600",2023-01-18,-18.33000000000004
92,867.52,787.83,780.39,859.73,781.17,"131,064,500",2023-01-17,-7.789999999999964
93,859.89,781.40,775.42,867.03,781.20,"99,361,200",2023-01-13,7.139999999999986
94,866.0,785.69,775.80,868.1,777.62,"110,175,500",2023-01-12,2.1000000000000227
95,859.15,788.12,777.19,863.19,783.83,"118,318,800",2023-01-11,4.040000000000077
96,848.11,786.32,780.68,855.0,783.33,"97,917,900",2023-01-10,6.889999999999986
97,855.14,797.27,784.44,850.41,784.59,"116,272,700",2023-01-09,-4.730000000000018
98,838.56,795.62,779.77,854.0,792.74,"125,464,600",2023-01-06,15.440000000000055
99,836.34,778.40,770.22,831.6,771.85,"133,500,200",2023-01-05,-4.740000000000009
100,835.18,783.93,774.62,840.73,779.53,"124,462,100",2023-01-04,5.550000000000068
101,834.4,779.97,768.77,833.12,777.29,"110,767,300",2023-01-03,-1.2799999999999727
102,830.78,781.55,773.41,831.4,779.13,"79,283,600",2022-12-30,0.6200000000000045
103,828.55,785.37,781.45,834.7,782.78,"70,792,900",2022-12-29,6.150000000000091
104,836.83,792.56,779.43,824.6,779.62,"73,572,600",2022-12-28,-12.230000000000018
105,834.29,790.96,785.30,835.58,789.55,"81,716,700",2022-12-27,1.2900000000000773
106,827.49,786.27,779.51,832.86,785.87,"65,881,700",2022-12-23,5.3700000000000045
107,833.78,782.12,773.23,828.14,781.76,"93,347,400",2022-12-22,-5.639999999999986
108,831.21,786.80,779.41,838.65,784.02,"100,955,000",2022-12-21,7.439999999999941
109,821.44,780.34,772.99,823.45,777.64,"109,214,500",2022-12-20,2.009999999999991
110,825.97,784.09,773.02,822.28,777.78,"114,403,300",2022-12-19,-3.6900000000000546
111,823.42,780.58,771.71,826.54,778.10,"277,563,300",2022-12-16,3.1200000000000045
112,842.23,790.92,776.34,830.55,782.22,"130,458,400",2022-12-15,-11.680000000000064
113,854.5,803.24,791.15,851.42,795.43,"125,807,400",2022-12-14,-3.080000000000041
114,867.38,806.73,791.57,853.02,796.01,"144,113,600",2022-12-13,-14.360000000000014
115,837.49,797.56,788.28,849.99,797.34,"104,983,800",2022-12-12,12.5
116,842.14,794.79,788.96,835.7,789.18,"117,775,500",2022-12-09,-6.439999999999941
117,842.04,795.38,789.08,842.55,795.26,"97,630,200",2022-12-08,0.5099999999999909
118,837.12,793.72,788.98,837.76,791.81,"118,473,600",2022-12-07,0.6399999999999864
119,850.18,797.72,785.02,838.91,788.85,"111,179,000",2022-12-06,-11.269999999999982
120,855.42,796.38,792.28,848.65,794.23,"115,058,700",2022-12-05,-6.769999999999982
121,849.48,804.75,793.66,863.37,803.89,"108,465,900",2022-12-02,13.889999999999986
122,861.17,802.35,796.44,858.03,800.38,"132,324,500",2022-12-01,-3.1399999999999864
123,844.1,804.18,784.18,858.06,804.18,"212,947,500",2022-11-30,13.959999999999923
124,841.27,791.87,785.56,844.62,789.76,"96,068,800",2022-11-29,3.3500000000000227
125,848.89,796.89,791.67,839.42,792.68,"105,353,000",2022-11-28,-9.470000000000027
126,853.33,795.71,793.73,854.86,795.14,"47,775,900",2022-11-25,1.5299999999999727
127,849.28,795.99,791.83,851.7,794.68,"81,044,000",2022-11-23,2.4200000000000728
128,845.75,792.43,789.24,848.4,792.03,"101,295,300",2022-11-22,2.6499999999999773
129,837.62,787.58,779.26,842.06,786.39,"115,682,000",2022-11-21,4.439999999999941
130,840.72,779.90,773.89,838.94,778.78,"116,182,400",2022-11-18,-1.7799999999999727
131,825.05,770.98,764.57,833.02,770.79,"104,980,600",2022-11-17,7.970000000000027
