,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
0,831.07,212.64,209.39,828.48,210.77,"290,422,500",2023-05-30,-2.590000000000032
1,826.17,211.14,206.53,830.39,210.92,"307,898,400",2023-05-26,4.220000000000027
2,821.42,209.82,206.39,824.03,207.37,"399,977,700",2023-05-25,2.6100000000000136
3,829.92,207.45,205.20,821.53,206.48,"253,331,100",2023-05-24,-8.389999999999986
4,838.55,210.90,207.73,832.07,207.73,"272,091,700",2023-05-23,-6.4799999999999045
5,843.31,212.50,208.37,842.45,210.85,"263,667,000",2023-05-22,-0.8599999999999
6,849.34,211.69,207.61,842.42,208.41,"270,577,000",2023-05-19,-6.920000000000073
7,837.15,209.72,205.76,844.69,209.44,"296,537,700",2023-05-18,7.540000000000077
8,829.78,206.72,203.08,839.09,205.76,"240,546,600",2023-05-17,9.31000000000006
9,832.67,204.40,201.37,825.06,203.36,"259,693,800",2023-05-16,-7.610000000000014
10,832.64,203.36,201.60,836.46,202.16,"253,137,200",2023-05-15,3.82000000000005
11,835.76,202.71,201.00,832.24,202.22,"261,151,000",2023-05-12,-3.519999999999982
12,833.3,203.18,199.39,832.15,201.84,"369,363,900",2023-05-11,-1.1499999999999773
13,845.43,199.39,194.78,837.56,198.56,"315,425,700",2023-05-10,-7.8700000000000045
14,837.89,197.60,195.07,840.28,195.26,"248,367,100",2023-05-09,2.3899999999999864
15,845.12,196.63,193.44,838.82,196.28,"221,504,800",2023-05-08,-6.2999999999999545
16,836.59,194.24,191.17,841.93,193.81,"294,053,800",2023-05-05,5.339999999999918
17,838.4,194.34,191.65,829.44,191.90,"301,304,200",2023-05-04,-8.959999999999923
18,845.53,197.26,194.12,838.62,194.34,"234,571,000",2023-05-03,-6.909999999999968
19,848.49,198.20,193.29,841.85,194.67,"243,498,200",2023-05-02,-6.639999999999986
20,846.72,199.13,196.98,850.77,198.20,"225,739,000",2023-05-01,4.0499999999999545
21,837.63,198.37,195.46,846.11,198.35,"280,041,100",2023-04-28,8.480000000000018
22,825.09,198.03,186.95,838.37,197.28,"357,683,200",2023-04-27,13.279999999999973
23,831.84,190.37,186.69,822.05,186.95,"336,059,700",2023-04-26,-9.790000000000077
24,848.16,191.14,188.10,837.71,188.12,"272,478,600",2023-04-25,-10.449999999999932
25,852.28,192.32,190.05,853.37,191.14,"240,712,300",2023-04-24,1.0900000000000318
26,855.53,191.44,189.63,851.44,191.16,"266,203,700",2023-04-21,-4.089999999999918
27,851.15,192.36,189.83,853.51,190.55,"325,266,100",2023-04-20,2.3600000000000136
28,853.84,193.42,190.87,855.09,192.02,"214,392,900",2023-04-19,1.25
29,855.37,195.66,193.13,855.69,193.42,"200,439,700",2023-04-18,0.32000000000005
30,847.39,197.18,193.20,851.74,194.68,"205,357,100",2023-04-17,4.350000000000023
31,843.35,197.25,195.02,845.07,197.18,"193,299,700",2023-04-14,1.7200000000000273
32,842.97,196.61,192.09,846.09,196.57,"223,692,900",2023-04-13,3.1200000000000045
33,843.95,195.78,191.89,842.91,192.09,"217,486,700",2023-04-12,-1.0400000000000773
34,838.03,195.52,193.60,840.11,193.82,"195,749,200",2023-04-11,2.080000000000041
35,825.46,196.00,192.67,835.19,194.65,"180,904,700",2023-04-10,9.730000000000018
36,827.63,196.69,191.28,827.76,196.00,"266,772,200",2023-04-06,0.12999999999999545
37,835.83,194.06,191.45,827.97,192.71,"231,570,000",2023-04-05,-7.860000000000014
38,857.8,193.86,191.91,838.88,193.13,"226,819,200",2023-04-04,-18.91999999999996
39,854.39,192.69,189.67,858.21,192.54,"215,389,700",2023-04-03,3.82000000000005
40,849.49,191.67,187.63,856.59,191.53,"236,665,800",2023-03-31,7.100000000000023
