DATE,CSCICP03USM665S_NBD19600101
1960-01-01,100.00000
1960-02-01,99.74026
1960-03-01,99.51587
1960-04-01,99.39210
1960-05-01,99.42335
1960-06-01,99.51180
1960-07-01,99.53048
1960-08-01,99.38919
1960-09-01,99.17014
1960-10-01,98.98826
1960-11-01,98.92926
1960-12-01,98.95053
1961-01-01,98.99948
1961-02-01,99.05163
1961-03-01,99.12104
1961-04-01,99.24378
1961-05-01,99.44414
1961-06-01,99.64751
1961-07-01,99.74515
1961-08-01,99.65604
1961-09-01,99.49437
1961-10-01,99.41327
1961-11-01,99.52114
1961-12-01,99.71732
1962-01-01,99.85735
1962-02-01,99.82985
1962-03-01,99.68956
1962-04-01,99.50672
1962-05-01,99.32933
1962-06-01,99.18785
1962-07-01,99.12220
1962-08-01,99.17288
1962-09-01,99.29618
1962-10-01,99.44811
1962-11-01,99.59565
1962-12-01,99.69934
1963-01-01,99.70035
1963-02-01,99.55130
1963-03-01,99.34985
1963-04-01,99.22260
1963-05-01,99.26131
1963-06-01,99.38507
1963-07-01,99.48752
1963-08-01,99.49918
1963-09-01,99.47094
1963-10-01,99.48328
1963-11-01,99.59535
1963-12-01,99.75349
1964-01-01,99.88100
1964-02-01,99.92181
1964-03-01,99.91488
1964-04-01,99.91371
1964-05-01,99.95379
1964-06-01,100.01412
1964-07-01,100.06029
1964-08-01,100.06722
1964-09-01,100.05616
1964-10-01,100.05999
1964-11-01,100.10663
1964-12-01,100.18747
1965-01-01,100.29386
1965-02-01,100.41935
1965-03-01,100.53646
1965-04-01,100.60572
1965-05-01,100.59312
1965-06-01,100.53541
1965-07-01,100.47357
1965-08-01,100.43134
1965-09-01,100.39790
1965-10-01,100.35037
1965-11-01,100.26737
1965-12-01,100.15687
1966-01-01,100.02431
1966-02-01,99.86841
1966-03-01,99.69891
1966-04-01,99.52232
1966-05-01,99.34123
1966-06-01,99.16073
1966-07-01,98.99137
1966-08-01,98.85160
1966-09-01,98.75903
1966-10-01,98.75544
1966-11-01,98.88453
1966-12-01,99.08079
1967-01-01,99.26992
1967-02-01,99.40217
1967-03-01,99.49266
1967-04-01,99.56045
1967-05-01,99.60926
1967-06-01,99.63089
1967-07-01,99.60001
1967-08-01,99.49597
1967-09-01,99.37730
1967-10-01,99.32348
1967-11-01,99.39126
1967-12-01,99.50634
1968-01-01,99.56566
1968-02-01,99.49257
1968-03-01,99.34764
1968-04-01,99.21184
1968-05-01,99.14143
1968-06-01,99.11387
1968-07-01,99.09814
1968-08-01,99.08240
1968-09-01,99.08965
1968-10-01,99.16578
1968-11-01,99.34462
1968-12-01,99.54413
1969-01-01,99.64478
1969-02-01,99.54728
1969-03-01,99.32920
1969-04-01,99.07730
1969-05-01,98.84047
1969-06-01,98.61641
1969-07-01,98.38669
1969-08-01,98.13893
1969-09-01,97.89464
1969-10-01,97.69193
1969-11-01,97.56451
1969-12-01,97.47932
1970-01-01,97.40059
1970-02-01,97.31175
1970-03-01,97.23076
1970-04-01,97.19218
1970-05-01,97.22125
1970-06-01,97.26565
1970-07-01,97.25345
1970-08-01,97.13583
1970-09-01,96.98631
1970-10-01,96.91259
1970-11-01,97.00026
1970-12-01,97.18074
1971-01-01,97.36917
1971-02-01,97.50953
1971-03-01,97.61180
1971-04-01,97.69472
1971-05-01,97.76662
1971-06-01,97.82560
1971-07-01,97.86287
1971-08-01,97.87889
1971-09-01,97.92137
1971-10-01,98.06522
1971-11-01,98.36619
1971-12-01,98.71299
1972-01-01,98.95381
1972-02-01,98.97690
1972-03-01,98.89719
1972-04-01,98.86701
1972-05-01,98.98953
1972-06-01,99.18273
1972-07-01,99.31811
1972-08-01,99.28866
1972-09-01,99.13473
1972-10-01,98.89535
1972-11-01,98.58407
1972-12-01,98.25028
1973-01-01,97.94214
1973-02-01,97.69218
1973-03-01,97.47713
1973-04-01,97.27395
1973-05-01,97.08095
1973-06-01,96.92707
1973-07-01,96.86695
1973-08-01,96.93699
1973-09-01,97.01754
1973-10-01,96.94100
1973-11-01,96.58930
1973-12-01,96.14860
1974-01-01,95.87916
1974-02-01,95.97431
1974-03-01,96.24808
1974-04-01,96.44770
1974-05-01,96.38749
1974-06-01,96.15683
1974-07-01,95.87568
1974-08-01,95.62048
1974-09-01,95.40055
1974-10-01,95.21939
1974-11-01,95.10068
1974-12-01,95.07547
1975-01-01,95.22576
1975-02-01,95.63450
1975-03-01,96.16007
1975-04-01,96.62911
1975-05-01,96.91256
1975-06-01,97.05813
1975-07-01,97.12163
1975-08-01,97.13621
1975-09-01,97.16358
1975-10-01,97.27551
1975-11-01,97.52249
1975-12-01,97.81782
1976-01-01,98.04687
1976-02-01,98.12791
1976-03-01,98.13923
1976-04-01,98.18670
1976-05-01,98.34097
1976-06-01,98.53852
1976-07-01,98.68076
1976-08-01,98.68968
1976-09-01,98.61898
1976-10-01,98.53824
1976-11-01,98.49676
1976-12-01,98.49748
1977-01-01,98.54241
1977-02-01,98.63584
1977-03-01,98.74340
1977-04-01,98.82128
1977-05-01,98.83138
1977-06-01,98.78613
1977-07-01,98.69086
1977-08-01,98.54160
1977-09-01,98.37282
1977-10-01,98.22467
1977-11-01,98.12970
1977-12-01,98.07895
1978-01-01,98.04569
1978-02-01,97.96492
1978-03-01,97.82603
1978-04-01,97.82476
1978-05-01,97.84912
1978-06-01,97.81306
1978-07-01,97.78650
1978-08-01,97.68702
1978-09-01,97.59145
1978-10-01,97.36033
1978-11-01,96.97106
1978-12-01,96.61830
1979-01-01,96.59278
1979-02-01,96.57735
1979-03-01,96.38487
1979-04-01,96.18734
1979-05-01,96.05540
1979-06-01,95.87086
1979-07-01,95.70801
1979-08-01,95.74510
1979-09-01,95.78598
1979-10-01,95.70990
1979-11-01,95.69172
1979-12-01,95.73194
1980-01-01,95.81730
1980-02-01,95.60748
1980-03-01,95.06215
1980-04-01,94.63888
1980-05-01,94.60368
1980-06-01,95.00314
1980-07-01,95.58088
1980-08-01,96.20917
1980-09-01,96.73865
1980-10-01,96.96371
1980-11-01,96.85281
1980-12-01,96.47782
1981-01-01,96.32673
1981-02-01,96.23016
1981-03-01,96.33169
1981-04-01,96.65011
1981-05-01,96.93044
1981-06-01,97.02601
1981-07-01,97.08115
1981-08-01,97.05569
1981-09-01,96.78857
1981-10-01,96.39135
1981-11-01,96.02856
1981-12-01,95.98244
1982-01-01,96.08966
1982-02-01,96.00114
1982-03-01,95.87036
1982-04-01,95.90753
1982-05-01,95.97614
1982-06-01,95.97132
1982-07-01,95.98870
1982-08-01,96.11550
1982-09-01,96.37757
1982-10-01,96.61254
1982-11-01,96.67083
1982-12-01,96.66744
1983-01-01,96.76935
1983-02-01,97.17515
1983-03-01,97.83499
1983-04-01,98.54352
1983-05-01,99.01613
1983-06-01,99.16588
1983-07-01,99.12956
1983-08-01,98.98733
1983-09-01,98.87027
1983-10-01,98.87706
1983-11-01,99.07227
1983-12-01,99.40837
1984-01-01,99.74419
1984-02-01,99.87694
1984-03-01,99.90683
1984-04-01,99.78378
1984-05-01,99.70497
1984-06-01,99.65608
1984-07-01,99.72759
1984-08-01,99.85496
1984-09-01,99.87774
1984-10-01,99.70898
1984-11-01,99.52622
1984-12-01,99.39405
1985-01-01,99.37567
1985-02-01,99.33256
1985-03-01,99.31100
1985-04-01,99.31204
1985-05-01,99.31306
1985-06-01,99.37364
1985-07-01,99.30206
1985-08-01,99.15272
1985-09-01,99.00095
1985-10-01,98.90239
1985-11-01,99.00907
1985-12-01,99.22872
1986-01-01,99.41493
1986-02-01,99.50366
1986-03-01,99.52886
1986-04-01,99.56940
