,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
0,602.51,602.51,590.07,596.86,596.86,"153,156,800",2023-05-30,-5.649999999999977
1,604.77,610.46,599.85,602.51,602.51,"138,167,500",2023-05-26,-2.259999999999991
2,616.43,616.43,599.83,604.77,604.77,"162,236,500",2023-05-25,-11.659999999999968
3,613.23,621.22,611.35,616.43,616.43,"137,879,400",2023-05-24,3.199999999999932
4,606.94,620.61,606.94,613.23,613.23,"139,637,800",2023-05-23,6.289999999999964
5,609.3,613.02,606.52,606.94,606.94,"136,684,400",2023-05-22,-2.3599999999999
6,604.88,614.14,604.88,609.3,609.3,"147,607,200",2023-05-19,4.419999999999959
7,601.93,605.56,593.73,604.88,604.88,"149,947,700",2023-05-18,2.9500000000000455
8,589.71,604.92,589.71,601.93,601.93,"151,136,400",2023-05-17,12.219999999999914
9,605.06,605.06,589.3,589.71,589.71,"163,101,500",2023-05-16,-15.349999999999909
10,603.84,608.47,599.88,605.06,605.06,"169,167,000",2023-05-15,1.2199999999999136
11,603.17,609.84,599.3,603.84,603.84,"124,351,400",2023-05-12,0.6700000000000728
12,610.73,610.73,598.63,603.13,603.13,"148,738,600",2023-05-11,-7.600000000000023
13,617.83,621.09,605.97,610.73,610.73,"154,717,200",2023-05-10,-7.100000000000023
14,617.61,623.66,612.57,617.83,617.83,"132,870,500",2023-05-09,0.22000000000002728
15,617.15,628.51,617.15,617.61,617.61,"127,825,300",2023-05-08,0.4600000000000364
16,600.65,621.73,600.65,617.15,617.15,"157,786,200",2023-05-05,16.5
17,607.37,613.4,599.19,600.65,600.65,"180,646,300",2023-05-04,-6.720000000000027
18,619.28,619.28,607.12,607.37,607.37,"166,407,900",2023-05-03,-11.909999999999968
19,646.97,646.97,613.44,619.28,619.28,"190,040,200",2023-05-02,-27.690000000000055
20,655.2,655.2,643.83,646.97,646.97,"119,438,300",2023-05-01,-8.230000000000018
21,645.68,659.15,641.38,655.2,655.2,"155,028,200",2023-04-28,9.520000000000095
22,642.83,647.38,636.98,645.68,645.68,"149,322,600",2023-04-27,2.849999999999909
23,651.16,652.97,639.21,642.83,642.83,"134,091,300",2023-04-26,-8.329999999999927
24,663.35,663.35,647.36,651.16,651.16,"130,153,700",2023-04-25,-12.190000000000055
25,653.3,666.59,652.15,663.35,663.35,"125,676,800",2023-04-24,10.050000000000068
26,657.19,659.45,650.66,653.3,653.3,"131,080,600",2023-04-21,-3.8900000000001
27,663.08,663.08,648.77,657.19,657.19,"136,198,200",2023-04-20,-5.889999999999986
28,664.75,664.75,656.18,663.08,663.08,"127,424,400",2023-04-19,-1.669999999999959
29,661.8,666.58,657.29,664.75,664.75,"134,786,800",2023-04-18,2.9500000000000455
30,670.32,670.34,659.8,661.8,661.8,"125,313,600",2023-04-17,-8.520000000000095
31,669.04,673.85,666.3,670.32,670.32,"107,683,200",2023-04-14,1.2800000000000864
32,664.99,670.63,662.12,669.04,669.04,"122,461,200",2023-04-13,4.0499999999999545
33,664.24,670.57,663.12,664.99,664.99,"127,797,800",2023-04-12,0.75
34,658.37,668.29,657.94,664.24,664.24,"120,095,900",2023-04-11,5.8700000000000045
35,654.14,665.68,654.14,658.37,658.37,"124,413,300",2023-04-10,4.230000000000018
36,663.91,663.91,652.68,654.14,654.14,"119,695,400",2023-04-06,-9.769999999999982
37,654.61,663.99,650.76,663.91,663.91,"151,151,400",2023-04-05,9.299999999999955
38,666.07,667.5,648.74,654.61,654.61,"174,185,000",2023-04-04,-11.460000000000036
39,634.9,669.67,634.9,666.07,666.07,"261,783,700",2023-04-03,31.170000000000073
40,630.9,636.16,630.36,634.9,634.9,"143,534,900",2023-03-31,4.0
41,628.71,634.17,627.65,630.9,630.9,"120,290,700",2023-03-30,2.189999999999941
42,619.44,629.32,619.44,628.71,628.71,"147,523,200",2023-03-29,9.269999999999982
43,610.6,622.41,607.2,619.44,619.44,"136,099,400",2023-03-28,8.840000000000032
44,598.03,614.15,598.03,610.6,610.6,"154,714,600",2023-03-27,12.57000000000005
45,596.32,600.26,582.54,598.03,598.03,"174,281,600",2023-03-24,1.7099999999999227
46,604.56,613.07,590.57,596.32,596.32,"156,882,800",2023-03-23,-8.239999999999895
47,617.6,620.84,604.34,604.56,604.56,"153,120,600",2023-03-22,-13.040000000000077
48,596.98,619.5,596.98,617.6,617.6,"199,715,100",2023-03-21,20.620000000000005
49,584.64,599.76,584.53,596.98,596.98,"184,689,400",2023-03-20,12.340000000000032
50,593.72,595.4,579.94,584.64,584.64,"394,949,700",2023-03-17,-9.080000000000041
51,588.2,595.35,572.55,593.72,593.72,"250,687,000",2023-03-16,5.519999999999982
52,621.92,621.92,579.8,588.2,588.2,"300,947,900",2023-03-15,-33.719999999999914
53,616.47,635.88,611.07,621.92,621.92,"179,871,900",2023-03-14,5.449999999999932
54,628.78,628.78,602.92,616.47,616.47,"216,188,400",2023-03-13,-12.309999999999945
55,637.81,646.39,625.63,628.78,628.78,"163,570,900",2023-03-10,-9.029999999999973
56,646.63,659.12,637.43,637.81,637.81,"149,613,600",2023-03-09,-8.82000000000005
57,653.32,658.31,640.42,646.63,646.63,"142,272,300",2023-03-08,-6.690000000000055
58,664.95,664.95,651.44,653.32,653.32,"131,747,800",2023-03-07,-11.629999999999995
59,664.3,665.72,657.61,664.95,664.95,"137,163,400",2023-03-06,0.650000000000091
60,655.85,666.89,646.79,664.3,664.3,"139,057,700",2023-03-03,8.449999999999932
61,650.37,658.17,646.82,655.85,655.85,"126,741,500",2023-03-02,5.480000000000018
62,638.01,653.82,636.31,650.37,650.37,"144,209,200",2023-03-01,12.360000000000014
63,647.35,652.72,637.51,638.01,638.01,"198,633,100",2023-02-28,-9.340000000000032
64,645.32,649.74,641.64,647.35,647.35,"144,380,600",2023-02-27,2.0299999999999727
