,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 30, 2023",602.51,602.51,590.07,596.86,596.86,"153,156,800"
1,"May 26, 2023",604.77,610.46,599.85,602.51,602.51,"138,167,500"
2,"May 25, 2023",616.43,616.43,599.83,604.77,604.77,"162,236,500"
3,"May 24, 2023",613.23,621.22,611.35,616.43,616.43,"137,879,400"
4,"May 23, 2023",606.94,620.61,606.94,613.23,613.23,"139,637,800"
5,"May 22, 2023",609.3,613.02,606.52,606.94,606.94,"136,684,400"
6,"May 19, 2023",604.88,614.14,604.88,609.3,609.3,"147,607,200"
7,"May 18, 2023",601.93,605.56,593.73,604.88,604.88,"149,947,700"
8,"May 17, 2023",589.71,604.92,589.71,601.93,601.93,"151,136,400"
9,"May 16, 2023",605.06,605.06,589.3,589.71,589.71,"163,101,500"
10,"May 15, 2023",603.84,608.47,599.88,605.06,605.06,"169,167,000"
11,"May 12, 2023",603.17,609.84,599.3,603.84,603.84,"124,351,400"
12,"May 11, 2023",610.73,610.73,598.63,603.13,603.13,"148,738,600"
13,"May 10, 2023",617.83,621.09,605.97,610.73,610.73,"154,717,200"
14,"May 09, 2023",617.61,623.66,612.57,617.83,617.83,"132,870,500"
15,"May 08, 2023",617.15,628.51,617.15,617.61,617.61,"127,825,300"
16,"May 05, 2023",600.65,621.73,600.65,617.15,617.15,"157,786,200"
17,"May 04, 2023",607.37,613.4,599.19,600.65,600.65,"180,646,300"
18,"May 03, 2023",619.28,619.28,607.12,607.37,607.37,"166,407,900"
19,"May 02, 2023",646.97,646.97,613.44,619.28,619.28,"190,040,200"
20,"May 01, 2023",655.2,655.2,643.83,646.97,646.97,"119,438,300"
21,"Apr 28, 2023",645.68,659.15,641.38,655.2,655.2,"155,028,200"
22,"Apr 27, 2023",642.83,647.38,636.98,645.68,645.68,"149,322,600"
23,"Apr 26, 2023",651.16,652.97,639.21,642.83,642.83,"134,091,300"
24,"Apr 25, 2023",663.35,663.35,647.36,651.16,651.16,"130,153,700"
25,"Apr 24, 2023",653.3,666.59,652.15,663.35,663.35,"125,676,800"
26,"Apr 21, 2023",657.19,659.45,650.66,653.3,653.3,"131,080,600"
27,"Apr 20, 2023",663.08,663.08,648.77,657.19,657.19,"136,198,200"
28,"Apr 19, 2023",664.75,664.75,656.18,663.08,663.08,"127,424,400"
29,"Apr 18, 2023",661.8,666.58,657.29,664.75,664.75,"134,786,800"
