Date,Open,High,Low,Close,Adj Close,Volume
2018-06-18,69.629997,70.099998,69.330002,70.059998,62.412540,409300
2018-06-19,69.379997,70.099998,69.279999,69.940002,62.305649,438000
2018-06-20,70.360001,70.449997,69.779999,69.830002,62.207642,427600
2018-06-21,69.599998,69.980003,69.150002,69.620003,62.020561,1670900
2018-06-22,70.000000,70.099998,69.230003,69.250000,61.690964,300500
2018-06-25,68.980003,69.070000,68.080002,68.580002,61.094097,545400
2018-06-26,68.599998,68.599998,67.900002,68.330002,60.871387,550300
2018-06-27,68.290001,68.660004,67.379997,67.400002,60.042908,567600
2018-06-28,67.099998,67.790001,66.910004,67.540001,60.490704,870900
2018-06-29,68.260002,68.650002,67.430000,67.449997,60.410103,1115800
2018-07-02,67.029999,67.860001,66.750000,67.849998,60.768360,661400
2018-07-03,68.070000,68.230003,67.250000,67.330002,60.302631,292600
2018-07-05,67.750000,67.750000,67.290001,67.529999,60.481750,451400
2018-07-06,67.400002,68.129997,67.150002,67.860001,60.777309,509300
2018-07-09,68.160004,69.440002,68.160004,69.400002,62.156597,1147700
2018-07-10,69.580002,69.589996,68.870003,69.089996,61.878933,466500
2018-07-11,68.730003,69.089996,68.529999,68.720001,61.547550,439600
2018-07-12,69.150002,69.150002,68.360001,68.739998,61.565472,440800
2018-07-13,68.550003,68.690002,67.830002,68.379997,61.243023,459800
2018-07-16,68.559998,69.540001,68.550003,69.470001,62.219273,573300
2018-07-17,69.529999,69.860001,69.300003,69.629997,62.362564,361200
2018-07-18,69.760002,70.669998,69.760002,70.559998,63.195511,516800
2018-07-19,70.260002,70.269997,69.580002,69.750000,62.470047,513400
2018-07-20,69.599998,70.089996,69.379997,69.919998,62.622295,387000
2018-07-23,69.879997,70.870003,69.879997,70.779999,63.392555,414300
2018-07-24,70.879997,71.300003,70.690002,70.889999,63.491055,442400
2018-07-25,70.830002,71.050003,70.449997,70.940002,63.535851,476200
2018-07-26,71.110001,71.410004,70.959999,70.989998,63.580620,422600
2018-07-27,71.099998,71.440002,70.680000,71.010002,63.598534,693800
2018-07-30,71.120003,71.550003,70.940002,71.019997,63.607494,420400
2018-07-31,71.190002,71.190002,70.419998,70.610001,63.240284,548900
2018-08-01,70.919998,71.360001,70.540001,70.660004,63.285080,269800
2018-08-02,70.209999,70.870003,70.050003,70.730003,63.347763,487900
2018-08-03,70.639999,71.000000,70.629997,71.000000,63.589592,304900
2018-08-06,71.019997,71.400002,70.849998,71.220001,63.786633,254100
2018-08-07,71.400002,71.940002,71.339996,71.489998,64.028435,354900
2018-08-08,71.489998,71.830002,71.339996,71.690002,64.207558,375500
2018-08-09,71.629997,71.730003,71.320000,71.370003,63.920963,202700
2018-08-10,70.680000,70.849998,70.250000,70.660004,63.285080,615000
2018-08-13,70.629997,70.820000,69.989998,70.029999,62.720818,303800
2018-08-14,70.180000,70.830002,70.150002,70.669998,63.294018,230600
2018-08-15,70.230003,70.500000,69.860001,70.160004,62.837250,389700
2018-08-16,70.480003,71.300003,70.480003,71.019997,63.607494,442200
2018-08-17,70.879997,71.320000,70.790001,71.230003,63.795586,559500
2018-08-20,71.209999,71.589996,71.169998,71.449997,63.992615,464300
2018-08-21,71.470001,72.150002,71.419998,71.820000,64.323990,338900
2018-08-22,71.580002,71.830002,71.500000,71.620003,64.144859,266100
2018-08-23,71.559998,71.610001,71.139999,71.260002,63.822449,288400
2018-08-24,71.480003,71.570000,71.300003,71.419998,63.965740,235700
2018-08-27,71.730003,72.510002,71.599998,72.209999,64.673294,406300
2018-08-28,72.379997,72.440002,72.010002,72.129997,64.601646,430900
2018-08-29,72.160004,72.290001,71.779999,72.080002,64.556862,797600
2018-08-30,71.879997,72.010002,71.519997,71.570000,64.100090,362100
2018-08-31,71.459999,71.629997,71.169998,71.580002,64.109039,274700
2018-09-04,71.470001,71.980003,71.300003,71.910004,64.404617,381100
2018-09-05,71.839996,72.269997,71.809998,71.919998,64.413544,281500
2018-09-06,71.910004,72.019997,71.410004,71.529999,64.064255,260800
2018-09-07,71.629997,71.680000,71.180000,71.470001,64.010513,271600
2018-09-10,71.629997,71.750000,71.330002,71.379997,63.929924,259200
2018-09-11,71.239998,71.669998,70.980003,71.440002,63.983662,570400
2018-09-12,71.400002,71.550003,70.680000,70.760002,63.374638,615400
2018-09-13,70.889999,71.250000,70.510002,70.639999,63.267143,430100
2018-09-14,70.730003,71.230003,70.730003,71.139999,63.714954,283600
2018-09-17,71.239998,71.309998,70.720001,70.839996,63.446274,313000
2018-09-18,70.919998,71.120003,70.639999,71.040001,63.625416,379100
2018-09-19,71.019997,72.290001,71.019997,72.099998,64.574783,282500
2018-09-20,72.510002,72.919998,72.459999,72.739998,65.147980,660500
2018-09-21,72.970001,72.970001,72.410004,72.440002,64.879288,540800
2018-09-24,72.050003,72.129997,71.269997,71.370003,64.234879,367300
2018-09-25,71.529999,71.589996,71.070000,71.089996,63.982841,374000
2018-09-26,71.239998,71.239998,70.059998,70.209999,63.190842,384700
2018-09-27,70.339996,70.489998,69.879997,69.949997,62.956818,551400
2018-09-28,69.709999,69.730003,69.260002,69.370003,62.434818,635200
2018-10-01,69.669998,70.019997,69.230003,69.389999,62.452812,927400
2018-10-02,69.330002,69.550003,68.910004,69.360001,62.425812,791800
2018-10-03,69.750000,70.419998,69.620003,70.059998,63.055832,475600
2018-10-04,70.089996,71.019997,69.980003,70.470001,63.424835,582900
