,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
0,831.07,832.83,824.67,828.48,828.48,"156,913,400",2023-05-30,-2.590000000000032
1,826.17,833.27,825.80,830.39,830.39,"153,779,000",2023-05-26,4.220000000000027
2,821.42,826.06,817.01,824.03,824.03,"193,548,900",2023-05-25,2.6100000000000136
3,829.92,829.93,820.46,821.53,821.53,"174,945,800",2023-05-24,-8.389999999999986
4,838.55,840.97,830.95,832.07,832.07,"180,217,300",2023-05-23,-6.4799999999999045
5,843.31,847.44,835.76,842.45,842.45,"159,481,000",2023-05-22,-0.8599999999999
6,849.34,851.26,838.59,842.42,842.42,"158,555,800",2023-05-19,-6.920000000000073
7,837.15,845.85,834.91,844.69,844.69,"163,426,500",2023-05-18,7.540000000000077
8,829.78,841.65,829.78,839.09,839.09,"203,975,200",2023-05-17,9.31000000000006
9,832.67,832.81,825.06,825.06,825.06,"147,501,400",2023-05-16,-7.610000000000014
10,832.64,838.92,829.44,836.46,836.46,"129,449,900",2023-05-15,3.82000000000005
11,835.76,837.64,826.11,832.24,832.24,"130,970,400",2023-05-12,-3.519999999999982
12,833.3,833.83,827.57,832.15,832.15,"137,855,900",2023-05-11,-1.1499999999999773
13,845.43,846.20,828.11,837.56,837.56,"160,721,300",2023-05-10,-7.8700000000000045
14,837.89,841.82,835.47,840.28,840.28,"154,648,500",2023-05-09,2.3899999999999864
15,845.12,846.11,835.91,838.82,838.82,"163,815,500",2023-05-08,-6.2999999999999545
16,836.59,844.24,835.95,841.93,841.93,"163,894,200",2023-05-05,5.339999999999918
17,838.4,839.21,825.04,829.44,829.44,"194,981,300",2023-05-04,-8.959999999999923
18,845.53,850.10,838.12,838.62,838.62,"178,189,900",2023-05-03,-6.909999999999968
19,848.49,848.49,832.62,841.85,841.85,"189,114,300",2023-05-02,-6.639999999999986
20,846.72,855.45,846.72,850.77,850.77,"174,726,300",2023-05-01,4.0499999999999545
21,837.63,847.46,837.63,846.11,846.11,"215,399,200",2023-04-28,8.480000000000018
22,825.09,838.93,822.94,838.37,838.37,"253,850,900",2023-04-27,13.279999999999973
23,831.84,834.42,820.49,822.05,822.05,"223,331,500",2023-04-26,-9.790000000000077
24,848.16,848.63,837.20,837.71,837.71,"195,642,600",2023-04-25,-10.449999999999932
25,852.28,856.29,850.18,853.37,853.37,"174,097,100",2023-04-24,1.0900000000000318
26,855.53,855.65,848.33,851.44,851.44,"186,256,500",2023-04-21,-4.089999999999918
27,851.15,856.70,850.69,853.51,853.51,"178,429,000",2023-04-20,2.3600000000000136
28,853.84,856.32,851.38,855.09,855.09,"174,370,400",2023-04-19,1.25
