Unnamed: 0,2023-06-01 15:41:56,2023-06-02 09:59:05,2023-06-02 10:03:45,2023-06-02 10:05:01,2023-06-02 10:30:18,2023-06-02 13:50:21,2023-06-02 14:00:09,2023-06-02 14:03:13,2023-06-02 14:11:41,2023-06-02 14:30:17,2023-06-02 15:00:20,2023-06-02 15:30:10,2023-06-02 16:00:18,2023-06-02 16:30:13,2023-06-02 19:53:57,2023-06-05 09:30:20,2023-06-05 10:00:14,2023-06-05 10:30:26,2023-06-05 11:00:18,2023-06-05 11:30:11
1.0,medicare details plan to cover alzheimers treatments,,,,,,,,,,,,,,,,,,,
2.0,salesforce tumbles despite strong earnings heres what the pros say,"Buy ad stock jump 20%, Morgan Stanley says",Harvard nutritionist: 4 toxic food ingredients 'actually make hungrier'—what eat instead,"Buy ad stock jump 20%, Morgan Stanley says",Here’s jobs May 2023 — one chart,"Bitcoin posted worst month since November, network activity saw record highs",Telecom stocks fall report Amazon considers launching mobile service Prime members,"Even inflation rate subsides, prices may stay higher. Here's","Even inflation rate subsides, prices may stay higher. Here's",Crypto bill Republicans lays clear roles SEC CFTC,Google says Gmail phone got lot faster thanks A.I.,Three cruise stocks among week's best performers summer approaches,child psychiatrist shares 4 ways moderate kids' social media use,1 3 parents worries taking advantage flexible work hurt careers,FDA allows import unapproved Chinese chemotherapy drug ease U.S. shortage,Morgan Stanley downgrades Dollar General,RFK Jr.'s presidential bid gains boost Silicon Valley elite,"Citi upgrades Ford buy, sees nearly 30% upside auto sales outlook improves",24-year-old negotiated first job offer email—and got $33K,"Jamie Dimon, America’s top banker, 'no plans’ run office"
3.0,microsoft signs deal with nvidiabacked coreweave to meet ai computing demand,Consumers likely cut back restaurant visits trade,JPMorgan downgrades electric utility stock rising regulatory risks,Consumers likely cut back restaurant visits trade,Here's price beer changed time,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,"bull case Saudi Arabia stocks growing, risks remain","bull case Saudi Arabia stocks growing, risks remain","bull case Saudi Arabia stocks growing, risks remain",West Coast ports shut union workers walk job wages,Bank America highlights 7 stocks behind year's market gains,Here’s jobs May 2023 — one chart,"23-year-old's ice cream empire brings $650,000 year—here's","wealthy Americans love UBS, secretive Swiss banking giant",Nvidia’s rise changed biggest momentum ETF,Russia says thwarted Donetsk large-scale offensive; Kremlin dismisses fake Putin radio 'hack',"China may 'disruptive' fueling anxiety — talks must continue, defense chiefs say",CNN CEO Chris Licht apologizes staff internal Monday morning call,Democrats warn Musk Twitter safety execs leave,Moderna vaccine used Keytruda reduces risk deadly skin cancer spreading
4.0,amazons north america fulfillment head is leaving,"Even inflation rate subsides, prices may stay higher. Here's","start teaching kids money, according experts","Even inflation rate subsides, prices may stay higher. Here's",Twitter trust safety chief Ella Irwin resigns,"Even inflation rate subsides, prices may stay higher. Here's",Jim Cramer's top 10 things watch stock market Friday,"wealthy Americans love UBS, secretive Swiss banking giant","wealthy Americans love UBS, secretive Swiss banking giant","Dow soars 700 points, heads best day 2023","23-year-old's ice cream empire brings $650,000 year—here's",child psychiatrist shares 4 ways moderate kids' social media use,"Diamond Sports must pay four MLB teams full, bankruptcy judge says","Morgan Stanley: Apple unveil $20 billion platform, ups price target",child psychiatrist shares 4 ways moderate kids' social media use,stock market advance depends rally broadening,"We're locking huge gain one stock, plus catalyst hits",Jim Cramer's top 10 things watch stock market Monday,"We're locking huge gain one stock, plus catalyst hits",Jim Cramer's top 10 things watch stock market Monday
5.0,stocks making the biggest moves midday dollar general c3ai chewy and more,Billionaire Tom Siebel faces mounting controversy A.I. software vendor C3.ai,"Traders betting short-term reversal chip stocks, ETF flows show",Billionaire Tom Siebel faces mounting controversy A.I. software vendor C3.ai,"Buy Broadcom thanks undervalued AI portfolio, BofA says","States sue 3M, DuPont toxic 'forever chemicals' found drinking water","wealthy Americans love UBS, secretive Swiss banking giant",Unemployment dropped among Hispanic men women May,Unemployment dropped among Hispanic men women May,"23-year-old's ice cream empire brings $650,000 year—here's","wealthy Americans love UBS, secretive Swiss banking giant",News potential Beijing stimulus boosts Club's China-exposed names,Arizona sets limits construction around Phoenix groundwater dwindles,Here's first-quarter earnings report card every stock portfolio,West Coast ports shut union workers walk job wages,"We're locking huge gain one stock, plus catalyst hits","Stock markets ignoring 'laundry list' risks, strategist says","Ivy League acceptance rates 'may bottomed out,' expert says",Formula One rally nearly 40% thanks favorable commercial rights deal,World Bank betting company 'green' $1.6 trillion steel industry
6.0,lululemon shares surge after reporting sales growth raising fullyear guidance,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Pence charged DOJ probe classified documents found home,Pence charged DOJ probe classified documents found home,Bank America highlights 7 stocks behind year's market gains,West Coast ports shut union workers walk job wages,West Coast ports shut union workers walk job wages,Telecom stocks fall report Amazon considers launching Prime wireless service,FDA allows import unapproved Chinese chemotherapy drug ease U.S. shortage,Telecom stocks fall report Amazon considers launching mobile service Prime members,"Dow leaps 700 points hot jobs report, Nasdaq notches sixth straight winning week",West Coast ports shut union workers walk job wages,"23-year-old's ice cream empire brings $650,000 year—here's",Apple shares pace record high ahead VR headset unveiling,24-year-old negotiated first job offer email—and got $33K,Evercore ISI raises market outlook gives 'Momentum Masters' stocks play,World Bank betting company 'green' $1.6 trillion steel industry,24-year-old negotiated first job offer email—and got $33K
7.0,heres why diddy is suing diageo over his vodka and tequila brands,"Buy Broadcom thanks undervalued AI portfolio, BofA says",manage big retirement risk amid health-care inflation,"Buy Broadcom thanks undervalued AI portfolio, BofA says","Bitcoin posted worst month since November, network activity saw record highs","bull case Saudi Arabia stocks growing, risks remain",Here's first-quarter earnings report card every stock portfolio,1 3 parents worries taking advantage flexible work hurt careers,1 3 parents worries taking advantage flexible work hurt careers,"SUNY sends college acceptance letters 125,000 high school seniors","SUNY sends college acceptance letters 125,000 high school seniors",Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,"Morgan Stanley: Apple unveil $20 billion platform, ups price target","Diamond Sports must pay four MLB teams full, bankruptcy judge says","Diamond Sports must pay four MLB teams full, bankruptcy judge says","Stock markets ignoring 'laundry list' risks, strategist says","Oppenheimer downgrades Estee Lauder, says gains harder come","China may 'disruptive' fueling anxiety — talks must continue, defense chiefs say",Cramer urges patience: 'It make lot sense get run',"Citi upgrades Ford buy, sees nearly 30% upside auto sales outlook improves"
8.0,retail investors start to join stock market rally data shows,Jim Cramer's top 10 things watch stock market Friday,"Even inflation rate subsides, prices may stay higher. Here's",Jim Cramer's top 10 things watch stock market Friday,Consumers keep traveling despite recession fears inflation,"Traders betting short-term reversal chip stocks, ETF flows show",Three cruise stocks among week's best performers summer approaches,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,"wealthy Americans love UBS, secretive Swiss banking giant","Morgan Stanley: Apple unveil $20 billion platform, ups price target","SUNY sends college acceptance letters 125,000 high school seniors",Tech stocks close first six-week rally since January 2020,YouTube stop removing false claims 2020 election fraud,"States sue 3M, DuPont toxic 'forever chemicals' found drinking water","China may 'disruptive' fueling anxiety — talks must continue, defense chiefs say",Moderna vaccine used Keytruda reduces risk deadly skin cancer spreading,Apple shares pace record high ahead VR headset unveiling,Universal basic income could coming U.K. — here's,stock market advance depends rally broadening
9.0,senate votes to repeal bidens student loan forgiveness plan,5 things know stock market opens Friday,Jim Cramer's top 10 things watch stock market Friday,5 things know stock market opens Friday,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,"Stocks making biggest moves midday: Lululemon, SentinelOne",News potential Beijing stimulus boosts Club's China-exposed names,Here's first-quarter earnings report card every stock portfolio,Here's first-quarter earnings report card every stock portfolio,Here's first-quarter earnings report card every stock portfolio,child psychiatrist shares 4 ways moderate kids' social media use,"Diamond Sports must pay four MLB teams full, bankruptcy judge says",Nvidia’s rise changed biggest momentum ETF,Three cruise stocks among week's best performers summer approaches,Questions markets next week center Fed derailment skinny rally,JPMorgan upgrades bank limited exposure commercial real estate,stock market advance depends rally broadening,"Watch natural gas stock 50% upside, Morgan Stanley says",Apple shares pace record high ahead VR headset unveiling,SEC sues Binance CEO Changpeng Zhao U.S. securities violations
10.0,kids who live with pets may be less prone to food allergies a new study shows,Costco $1.50 hot dog—4 products beaten inflation,Here's price beer changed time,Costco $1.50 hot dog—4 products beaten inflation,Atlantic Equities downgrades music stock A.I. threatens revenue growth,child psychiatrist shares 4 ways moderate kids' social media use,Here’s jobs May 2023 — one chart,child psychiatrist shares 4 ways moderate kids' social media use,child psychiatrist shares 4 ways moderate kids' social media use,Here’s jobs May 2023 — one chart,West Coast ports shut union workers walk job wages,"States sue 3M, DuPont toxic 'forever chemicals' found drinking water",Atlantic Equities downgrades music stock A.I. threatens revenue growth,Psychologist: 3 ways deal power-hungry co-worker,Google says Gmail phone got lot faster thanks A.I.,24-year-old negotiated first job offer email—and got $33K,"Ivy League acceptance rates 'may bottomed out,' expert says",new lithium extraction tech could help us meet electric vehicle targets,GM invest $1 billion produce new heavy-duty pickups,Trump lawyers meet DOJ ex-president slams indictment speculation
11.0,lululemon shares surge after reporting 24 sales growth raising fullyear guidance,"'Everyone see reality' Ukraine except Putin, UK defense minister says","Buy ad stock jump 20%, Morgan Stanley says","'Everyone see reality' Ukraine except Putin, UK defense minister says","'Everyone see reality' Ukraine except Putin, UK defense minister says","23-year-old's ice cream empire brings $650,000 year—here's","Traders betting short-term reversal chip stocks, ETF flows show",YouTube stop removing false claims 2020 election fraud,YouTube stop removing false claims 2020 election fraud,Atlantic Equities downgrades music stock A.I. threatens revenue growth,"Even inflation rate subsides, prices may stay higher. Here's",Arizona sets limits construction around Phoenix groundwater dwindles,YouTube stop removing false claims 2020 election fraud,Crypto bill Republicans lays clear roles SEC CFTC,"wealthy Americans love UBS, secretive Swiss banking giant",5 things know stock market opens Monday,Democrats warn Musk Twitter safety execs leave,SEC sues Binance CEO Changpeng Zhao U.S. securities violations,"Stock markets ignoring 'laundry list' risks, strategist says",JPMorgan upgrades bank limited exposure commercial real estate
12.0,heres what to watch out for in fridays jobs report for may,Here's price beer changed time,Treasury yields hold steady Senate passes debt ceiling bill,Here's price beer changed time,"Buy ad stock jump 20%, Morgan Stanley says",Arizona sets limits construction around Phoenix groundwater dwindles,Telecom stocks fall report Amazon considers launching Prime wireless service,Nvidia’s rise changed biggest momentum ETF,Nvidia’s rise changed biggest momentum ETF,child psychiatrist shares 4 ways moderate kids' social media use,"Stocks making biggest moves midday: Lululemon, SentinelOne",Nvidia’s rise changed biggest momentum ETF,Psychologist: 3 ways deal power-hungry co-worker,Buy Buy Baby draws sale interest Bed Bath & Beyond bankruptcy,Biden says debt ceiling bill avoids catastrophic economic default,"Spotify lays 200 employees, 2% workforce",World Bank betting company 'green' $1.6 trillion steel industry,Morgan Stanley downgrades Dollar General,"Oppenheimer downgrades Estee Lauder, says gains harder come",Formula One rally nearly 40% thanks favorable commercial rights deal
