Date,Price,Open,High,Low,Vol.,Change %
05/31/2023,225.65,224.55,226.0,222.94,167.82M,0.68%
05/30/2023,224.13,225.06,227.1,223.74,61.39M,0.30%
05/26/2023,223.45,221.43,223.9,220.49,53.55M,1.18%
05/25/2023,220.85,221.39,222.48,219.31,68.33M,0.27%
05/24/2023,220.26,224.57,224.61,219.98,56.90M,-2.22%
05/23/2023,225.25,227.5,229.36,225.06,55.53M,-1.24%
05/22/2023,228.08,226.95,229.54,225.71,52.37M,0.66%
05/19/2023,226.59,227.79,229.27,225.7,57.41M,-0.18%
05/18/2023,226.99,227.55,228.28,225.29,59.14M,-0.75%
05/17/2023,228.71,226.85,229.07,225.3,54.65M,1.26%
05/16/2023,225.86,231.78,231.78,225.84,67.78M,-2.66%
05/15/2023,232.04,233.04,233.48,231.33,50.32M,-0.28%
05/12/2023,232.7,232.76,233.05,230.84,50.36M,0.18%
05/11/2023,232.29,233.3,233.31,230.83,55.82M,-1.04%
05/10/2023,234.74,234.62,235.7,232.44,54.71M,0.99%
05/09/2023,232.43,231.89,233.34,230.04,55.99M,-0.42%
05/08/2023,233.42,233.98,235.33,232.62,48.34M,-0.65%
05/05/2023,234.95,232.79,235.38,232.48,54.86M,1.54%
05/04/2023,231.39,229.44,232.7,228.44,67.87M,0.96%
05/03/2023,229.18,231.58,233.3,228.96,72.44M,-0.57%
05/02/2023,230.5,233.99,234.54,229.25,65.05M,-1.74%
05/01/2023,234.57,236.16,237.18,234.27,58.76M,-0.94%
04/28/2023,236.79,234.09,237.44,233.63,67.46M,1.17%
04/27/2023,234.06,229.49,234.56,229.49,63.87M,2.25%
04/26/2023,228.9,230.35,232.54,228.37,58.01M,-0.82%
04/25/2023,230.8,232.05,232.7,230.73,55.85M,-0.92%
04/24/2023,232.94,234.09,234.55,231.21,49.12M,-0.29%
04/21/2023,233.61,233.79,234.52,231.63,51.50M,0.19%
04/20/2023,233.17,235.12,235.12,232.27,54.62M,-1.22%
04/19/2023,236.04,233.46,236.77,232.92,46.28M,0.55%
04/18/2023,234.74,234.75,235.29,233.43,53.39M,-0.14%
04/17/2023,235.08,230.41,235.08,230.19,60.41M,2.23%
04/14/2023,229.95,234.52,235.22,228.3,54.36M,-1.73%
04/13/2023,233.99,234.82,235.09,231.8,56.67M,-0.45%
04/12/2023,235.04,237.68,238.3,234.72,56.01M,-0.29%
04/11/2023,235.72,234.81,237.67,234.18,62.51M,0.45%
04/10/2023,234.66,232.09,234.67,231.03,53.91M,0.51%
04/06/2023,233.47,232.66,233.47,230.56,49.87M,0.70%
04/05/2023,231.85,232.82,234.3,231.72,63.35M,-0.51%
04/04/2023,233.03,233.17,233.97,231.53,69.90M,0.09%
04/03/2023,232.83,234.26,236.14,231.49,86.22M,-0.97%
03/31/2023,235.11,231.16,235.19,230.88,92.02M,2.17%
03/30/2023,230.12,229.83,230.71,229.17,56.83M,1.19%
03/29/2023,227.41,224.9,227.56,224.9,58.13M,2.34%
03/28/2023,222.21,221.25,223.24,220.62,48.91M,-0.23%
03/27/2023,222.73,225.04,225.57,222.55,63.65M,-0.39%
03/24/2023,223.61,216.86,223.63,216.42,71.92M,2.65%
03/23/2023,217.84,219.72,222.84,217.26,70.93M,-0.54%
03/22/2023,219.03,225.16,225.72,218.98,75.11M,-3.60%
03/21/2023,227.21,229.96,230.36,224.87,78.71M,-0.69%
03/20/2023,228.78,226.66,229.56,225.74,73.14M,1.06%
03/17/2023,226.38,231.02,231.02,226.29,146.68M,-2.27%
03/16/2023,231.63,229.7,232.69,227.63,91.53M,-0.06%
03/15/2023,231.77,229.41,232.6,228.49,88.09M,0.00%
03/14/2023,231.76,233.75,233.95,229.06,89.73M,0.84%
03/13/2023,229.83,225.13,233.19,224.78,90.19M,1.60%
03/10/2023,226.2,233.52,233.82,225.49,90.11M,-3.25%
03/09/2023,233.81,239.29,239.95,233.32,64.64M,-2.29%
03/08/2023,239.3,236.22,240.8,236.12,53.82M,1.32%
03/07/2023,236.18,242.21,242.21,235.97,60.64M,-2.51%
03/06/2023,242.25,243.99,244.35,241.79,51.08M,-0.40%
03/03/2023,243.23,240.76,243.69,240.6,62.71M,1.74%
03/02/2023,239.08,234.84,239.49,234.19,71.65M,1.22%
03/01/2023,236.2,238.1,238.65,234.73,73.55M,-1.49%
02/28/2023,239.77,239.88,242.79,239.31,99.96M,-0.04%
02/27/2023,239.86,242.13,243.43,238.72,60.45M,0.15%
02/24/2023,239.51,241.51,241.87,238.32,61.38M,-1.82%
02/23/2023,243.94,243.34,244.45,241.71,55.32M,0.98%
02/22/2023,241.57,244.35,244.69,240.6,62.16M,-1.02%
02/21/2023,244.05,246.89,247.17,242.83,59.68M,-1.96%
02/17/2023,248.92,249.37,249.53,246.48,70.44M,-0.45%
02/16/2023,250.05,248.8,252.16,246.67,69.74M,-0.93%
02/15/2023,252.4,249.79,252.41,249.57,58.23M,0.26%
02/14/2023,251.75,253.24,255.13,250.34,62.95M,-1.04%
02/13/2023,254.39,253.07,254.86,252.85,53.81M,0.82%
02/10/2023,252.33,250.34,252.85,249.14,56.61M,0.27%
02/09/2023,251.66,255.46,256.67,251.01,63.95M,-1.01%
02/08/2023,254.23,253.93,255.1,252.97,57.81M,-0.29%
02/07/2023,254.98,254.01,256.16,251.63,69.44M,-0.31%
02/06/2023,255.77,254.12,256.12,252.83,59.34M,-0.68%
02/03/2023,257.51,259.24,259.24,254.13,65.42M,-2.04%
02/02/2023,262.86,259.68,265.32,259.68,69.51M,2.23%
02/01/2023,257.12,253.97,258.7,251.55,66.94M,0.73%
01/31/2023,255.26,250.64,255.52,250.2,112.66M,1.88%
01/30/2023,250.56,252.03,254.58,250.44,54.11M,-1.24%
01/27/2023,253.7,251.04,254.72,250.7,58.19M,0.94%
01/26/2023,251.33,249.75,251.4,248.68,55.34M,1.10%
01/25/2023,248.6,247.07,248.85,246.21,59.76M,0.11%
01/24/2023,248.33,243.37,249.23,242.89,46.75M,0.40%
01/23/2023,247.33,246.47,248.86,244.92,52.34M,0.24%
01/20/2023,246.74,243.16,246.83,240.85,75.99M,1.20%
01/19/2023,243.82,243.95,246.84,243.68,62.66M,-0.45%
01/18/2023,244.92,249.36,250.24,244.63,65.82M,-1.56%
01/17/2023,248.8,249.14,250.27,248.2,73.01M,0.08%
01/13/2023,248.6,247.5,249.72,246.89,71.09M,-0.61%
01/12/2023,250.12,248.02,250.65,245.64,65.05M,1.09%
01/11/2023,247.43,241.11,247.49,241.11,71.86M,3.60%
01/10/2023,238.83,237.76,238.86,235.75,57.35M,0.34%
01/09/2023,238.01,238.65,240.86,237.42,68.87M,-0.05%
01/06/2023,238.14,232.58,238.99,231.68,60.23M,2.86%
01/05/2023,231.52,236.03,236.07,231.16,60.47M,-2.89%
01/04/2023,238.42,234.34,240.56,234.33,127.70M,2.29%
01/03/2023,233.09,234.59,236.12,230.29,68.04M,0.31%
12/30/2022,232.37,233.11,233.84,229.7,48.16M,-1.00%
12/29/2022,234.71,231.18,235.12,230.51,49.25M,2.16%
12/28/2022,229.75,234.23,235.12,229.51,48.96M,-1.59%
12/27/2022,233.47,233.59,234.19,231.39,44.88M,-0.14%
12/23/2022,233.8,230.56,233.85,230.1,38.27M,0.88%
12/22/2022,231.75,231.0,232.01,227.6,67.48M,-0.40%
12/21/2022,232.69,232.48,235.12,231.88,70.43M,0.92%
12/20/2022,230.58,229.45,231.94,227.94,60.65M,-0.27%
12/19/2022,231.2,233.05,233.57,229.72,61.36M,-1.12%
12/16/2022,233.82,236.87,237.01,231.53,161.97M,-2.96%
12/15/2022,240.96,240.95,243.23,239.7,74.35M,-1.28%
12/14/2022,244.09,245.89,249.02,243.15,81.72M,-1.01%
12/13/2022,246.59,248.85,249.95,243.8,83.31M,2.04%
12/12/2022,241.66,239.86,241.67,237.6,73.53M,0.90%
12/09/2022,239.51,239.56,242.09,239.01,58.65M,-0.20%
12/08/2022,240.0,238.89,241.83,238.51,71.40M,0.60%
12/07/2022,238.56,237.09,240.94,237.09,77.21M,0.26%
12/06/2022,237.95,240.29,240.53,236.86,70.36M,-0.79%
12/05/2022,239.84,241.35,242.91,239.33,68.74M,-1.72%
12/02/2022,244.03,242.33,245.14,241.18,57.31M,-0.42%
12/01/2022,245.05,247.92,249.12,243.2,65.16M,-0.31%
11/30/2022,245.82,239.17,245.82,238.06,131.99M,2.34%
11/29/2022,240.21,236.61,240.36,235.88,59.11M,1.71%
11/28/2022,236.18,241.46,242.58,235.63,69.69M,-2.80%
11/25/2022,242.98,242.42,243.1,241.89,24.27M,0.64%
11/23/2022,241.43,240.71,242.43,239.5,40.03M,0.15%
11/22/2022,241.07,240.61,241.16,239.31,56.12M,0.46%
11/21/2022,239.96,237.64,240.22,237.0,55.05M,0.72%
11/18/2022,238.25,238.31,239.06,235.92,68.61M,1.29%
11/17/2022,235.22,234.47,235.97,233.29,56.10M,-0.82%
11/16/2022,237.17,238.41,239.83,236.77,63.24M,-0.85%
11/15/2022,239.2,239.33,240.47,236.48,74.18M,1.24%
11/14/2022,236.28,241.27,241.33,236.26,65.96M,-2.65%
11/11/2022,242.7,243.59,245.47,242.13,71.10M,-0.11%
11/10/2022,242.96,232.91,243.42,232.91,92.80M,7.74%
11/09/2022,225.5,227.87,230.08,225.17,68.57M,-1.09%
11/08/2022,227.98,227.13,230.35,226.68,73.77M,0.65%
11/07/2022,226.51,228.26,228.83,225.31,71.51M,-0.07%
11/04/2022,226.67,224.93,227.78,222.3,91.26M,1.29%
11/03/2022,223.78,222.46,225.47,219.7,78.32M,0.01%
11/02/2022,223.75,228.81,231.49,223.45,97.94M,-2.62%
11/01/2022,229.76,232.86,233.62,229.18,77.30M,-0.21%
10/31/2022,230.25,228.46,231.68,228.06,86.64M,-0.23%
10/28/2022,230.77,224.38,231.42,223.69,68.42M,2.40%
10/27/2022,225.37,226.25,228.03,224.53,82.53M,0.00%
10/26/2022,225.38,225.94,227.42,224.02,84.53M,-0.15%
10/25/2022,225.72,218.47,226.03,218.38,101.01M,3.94%
10/24/2022,217.17,219.2,220.03,215.51,71.27M,-0.09%
10/21/2022,217.36,216.22,217.37,212.94,82.19M,0.68%
10/20/2022,215.89,216.64,219.02,215.19,69.24M,-0.41%
10/19/2022,216.78,219.47,221.02,215.68,68.66M,-2.56%
10/18/2022,222.47,223.71,225.35,220.48,78.07M,1.27%
10/17/2022,219.68,215.75,220.36,215.24,79.25M,3.89%
10/14/2022,211.45,219.72,220.11,211.3,78.83M,-2.59%
10/13/2022,217.08,208.81,218.13,207.86,93.51M,1.84%
10/12/2022,213.16,215.3,215.46,212.18,68.96M,-1.39%
10/11/2022,216.16,214.23,217.73,211.38,83.01M,1.02%
10/10/2022,213.98,217.68,218.69,213.71,69.94M,-1.19%
10/07/2022,216.56,219.79,220.71,215.27,80.81M,-2.49%
10/06/2022,222.09,229.2,229.41,221.68,72.57M,-3.20%
10/05/2022,229.43,230.54,231.01,225.96,71.20M,-1.90%
10/04/2022,233.88,231.86,235.8,231.86,87.27M,1.62%
10/03/2022,230.15,229.39,231.54,225.91,84.44M,1.86%
09/30/2022,225.94,225.91,227.58,224.29,157.53M,0.99%
09/29/2022,223.72,228.06,228.06,222.41,96.35M,-2.87%
09/28/2022,230.34,228.18,231.23,225.87,110.68M,1.88%
09/27/2022,226.1,231.51,232.76,225.62,85.67M,-1.28%
09/26/2022,229.04,233.63,233.63,226.59,90.03M,-2.63%
09/23/2022,235.22,235.85,237.14,232.64,84.87M,-1.30%
09/22/2022,238.32,239.5,239.86,237.45,78.75M,-0.94%
09/21/2022,240.59,246.19,247.73,240.59,73.34M,-1.57%
09/20/2022,244.43,248.44,248.44,243.24,79.48M,-2.57%
09/19/2022,250.88,249.04,250.92,247.01,76.40M,-0.21%
09/16/2022,251.42,250.82,251.55,248.46,140.64M,0.03%
09/15/2022,251.34,256.85,257.09,251.12,64.14M,-2.24%
09/14/2022,257.1,258.31,259.19,255.23,77.10M,-1.39%
09/13/2022,260.72,265.92,266.54,259.93,63.46M,-3.84%
09/12/2022,271.13,269.68,271.58,269.53,50.62M,0.86%
09/09/2022,268.83,267.03,269.88,265.92,62.85M,1.14%
09/07/2022,265.79,261.49,266.19,260.84,53.99M,1.92%
