,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 30, 2023",92.39,92.39,92.39,92.39,92.39,-
1,"May 29, 2023",92.39,92.39,92.39,92.39,92.39,-
2,"May 28, 2023",92.39,92.39,92.39,92.39,92.39,-
3,"May 27, 2023",92.39,92.39,92.39,92.39,92.39,-
4,"May 26, 2023",92.39,92.39,92.39,92.39,92.39,-
5,"May 25, 2023",92.39,92.39,92.39,92.39,92.39,-
6,"May 24, 2023",91.38,91.38,91.38,91.38,91.38,-
7,"May 23, 2023",91.49,91.49,91.49,91.49,91.49,-
8,"May 22, 2023",90.80,90.80,90.80,90.80,90.80,-
9,"May 21, 2023",92.29,92.29,92.29,92.29,92.29,-
10,"May 20, 2023",92.29,92.29,92.29,92.29,92.29,-
11,"May 19, 2023",92.29,92.29,92.29,92.29,92.29,-
12,"May 18, 2023",93.44,93.44,93.44,93.44,93.44,-
13,"May 17, 2023",94.19,94.19,94.19,94.19,94.19,-
14,"May 16, 2023",93.64,93.64,93.64,93.64,93.64,-
15,"May 15, 2023",94.19,94.19,94.19,94.19,94.19,-
16,"May 14, 2023",93.71,93.71,93.71,93.71,93.71,-
17,"May 13, 2023",93.71,93.71,93.71,93.71,93.71,-
18,"May 12, 2023",93.71,93.71,93.71,93.71,93.71,-
19,"May 11, 2023",92.86,92.86,92.86,92.86,92.86,-
20,"May 10, 2023",93.49,93.49,93.49,93.49,93.49,-
21,"May 09, 2023",87.19,87.19,87.19,87.19,87.19,-
22,"May 08, 2023",94.46,94.46,94.46,94.46,94.46,-
23,"May 07, 2023",95.99,95.99,95.99,95.99,95.99,-
24,"May 06, 2023",95.99,95.99,95.99,95.99,95.99,-
25,"May 05, 2023",95.99,95.99,95.99,95.99,95.99,-
26,"May 04, 2023",95.99,95.99,95.99,95.99,95.99,-
27,"May 03, 2023",100.76,100.76,100.76,100.76,100.76,-
28,"May 02, 2023",100.76,100.76,100.76,100.76,100.76,-
29,"May 01, 2023",100.76,100.76,100.76,100.76,100.76,-
30,"Apr 30, 2023",100.44,100.44,100.44,100.44,100.44,-
31,"Apr 29, 2023",100.44,100.44,100.44,100.44,100.44,-
32,"Apr 28, 2023",100.44,100.44,100.44,100.44,100.44,-
33,"Apr 27, 2023",99.05,99.05,99.05,99.05,99.05,-
34,"Apr 26, 2023",97.01,97.01,97.01,97.01,97.01,-
35,"Apr 25, 2023",96.76,96.76,96.76,96.76,96.76,-
36,"Apr 24, 2023",96.50,96.50,96.50,96.50,96.50,-
37,"Apr 23, 2023",98.33,98.33,98.33,98.33,98.33,-
38,"Apr 22, 2023",98.33,98.33,98.33,98.33,98.33,-
39,"Apr 21, 2023",98.33,98.33,98.33,98.33,98.33,-
40,"Apr 20, 2023",98.66,98.66,98.66,98.66,98.66,-
41,"Apr 19, 2023",98.68,98.68,98.68,98.68,98.68,-
42,"Apr 18, 2023",100.55,100.55,100.55,100.55,100.55,-
43,"Apr 17, 2023",99.67,99.67,99.67,99.67,99.67,-
