,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Jun 14, 2023","1,295.86","1,299.41","1,275.46","1,292.23","1,292.23","508,152,400"
1,"Jun 13, 2023","1,292.28","1,294.55","1,280.39","1,293.65","1,293.65","494,163,200"
2,"Jun 12, 2023","1,267.53","1,282.99","1,263.15","1,280.79","1,280.79","535,114,300"
3,"Jun 09, 2023","1,267.75","1,276.09","1,256.37","1,258.94","1,258.94","499,413,600"
4,"Jun 08, 2023","1,237.53","1,256.20","1,235.85","1,253.45","1,253.45","459,777,400"
5,"Jun 07, 2023","1,253.72","1,257.20","1,231.87","1,234.14","1,234.14","586,192,800"
6,"Jun 06, 2023","1,231.65","1,246.86","1,230.36","1,245.44","1,245.44","440,637,400"
7,"Jun 05, 2023","1,229.05","1,237.08","1,226.03","1,233.19","1,233.19","404,049,700"
8,"Jun 02, 2023","1,216.52","1,233.86","1,215.62","1,228.92","1,228.92","504,859,700"
9,"Jun 01, 2023","1,187.38","1,208.08","1,179.44","1,202.50","1,202.50","475,276,600"
10,"May 31, 2023","1,190.83","1,193.61","1,171.97","1,188.04","1,188.04","633,997,200"
11,"May 30, 2023","1,204.15","1,208.27","1,191.68","1,199.02","1,199.02","457,283,400"
12,"May 26, 2023","1,166.58","1,199.69","1,166.58","1,190.01","1,190.01","550,132,400"
13,"May 25, 2023","1,172.10","1,172.10","1,158.78","1,162.34","1,162.34","400,128,200"
14,"May 24, 2023","1,169.40","1,174.42","1,159.17","1,168.38","1,168.38","450,275,100"
15,"May 23, 2023","1,171.45","1,187.33","1,169.21","1,171.09","1,171.09","479,909,400"
16,"May 22, 2023","1,187.66","1,189.30","1,177.39","1,181.37","1,181.37","421,605,700"
17,"May 19, 2023","1,192.84","1,193.54","1,180.43","1,185.73","1,185.73","416,353,500"
18,"May 18, 2023","1,181.31","1,196.32","1,180.53","1,195.75","1,195.75","385,499,700"
19,"May 17, 2023","1,162.45","1,178.71","1,161.31","1,177.59","1,177.59","459,451,100"
20,"May 16, 2023","1,150.12","1,164.49","1,148.49","1,154.05","1,154.05","403,652,800"
21,"May 15, 2023","1,156.67","1,159.80","1,146.78","1,156.98","1,156.98","371,918,400"
22,"May 12, 2023","1,170.22","1,172.00","1,148.37","1,155.36","1,155.36","406,090,700"
23,"May 11, 2023","1,161.44","1,167.13","1,156.18","1,165.73","1,165.73","367,168,500"
24,"May 10, 2023","1,162.84","1,168.95","1,146.27","1,159.34","1,159.34","416,534,100"
25,"May 09, 2023","1,146.54","1,152.79","1,143.98","1,152.10","1,152.10","318,003,800"
26,"May 08, 2023","1,151.54","1,152.31","1,144.32","1,151.90","1,151.90","374,110,900"
27,"May 05, 2023","1,134.49","1,150.01","1,133.96","1,148.40","1,148.40","430,867,900"
28,"May 04, 2023","1,135.69","1,139.12","1,124.22","1,125.90","1,125.90","436,724,100"
29,"May 03, 2023","1,139.08","1,152.60","1,132.79","1,133.79","1,133.79","469,259,100"
30,"May 02, 2023","1,137.87","1,144.30","1,128.72","1,141.94","1,141.94","480,025,200"
31,"May 01, 2023","1,150.07","1,151.56","1,138.58","1,140.15","1,140.15","457,951,700"
32,"Apr 28, 2023","1,148.64","1,154.75","1,134.41","1,152.42","1,152.42","484,655,700"
33,"Apr 27, 2023","1,132.38","1,154.17","1,129.53","1,152.85","1,152.85","499,102,800"
34,"Apr 26, 2023","1,132.18","1,136.79","1,119.64","1,121.81","1,121.81","458,864,600"
35,"Apr 25, 2023","1,141.78","1,143.64","1,125.90","1,126.10","1,126.10","428,072,400"
36,"Apr 24, 2023","1,152.79","1,159.49","1,139.30","1,149.64","1,149.64","409,926,000"
37,"Apr 21, 2023","1,146.60","1,155.33","1,138.09","1,150.47","1,150.47","398,792,500"
38,"Apr 20, 2023","1,135.47","1,146.45","1,130.51","1,136.78","1,136.78","530,689,300"
39,"Apr 19, 2023","1,143.52","1,160.36","1,142.74","1,153.85","1,153.85","379,921,500"
40,"Apr 18, 2023","1,158.31","1,160.58","1,148.93","1,153.59","1,153.59","304,743,500"
41,"Apr 17, 2023","1,148.98","1,154.86","1,141.45","1,152.15","1,152.15","328,618,600"
42,"Apr 14, 2023","1,140.59","1,151.12","1,134.86","1,144.40","1,144.40","320,014,700"
43,"Apr 13, 2023","1,125.71","1,144.03","1,122.27","1,142.93","1,142.93","404,531,600"
44,"Apr 12, 2023","1,142.90","1,143.76","1,115.97","1,117.09","1,117.09","423,245,400"
45,"Apr 11, 2023","1,134.72","1,141.09","1,129.80","1,134.57","1,134.57","391,019,000"
46,"Apr 10, 2023","1,118.59","1,134.41","1,111.15","1,134.39","1,134.39","378,196,800"
47,"Apr 06, 2023","1,124.01","1,131.13","1,113.52","1,129.59","1,129.59","338,390,600"
48,"Apr 05, 2023","1,148.78","1,148.78","1,126.71","1,129.03","1,129.03","373,252,000"
49,"Apr 04, 2023","1,157.58","1,159.69","1,142.32","1,152.52","1,152.52","383,137,400"
50,"Apr 03, 2023","1,153.09","1,158.53","1,145.53","1,153.35","1,153.35","425,524,200"
51,"Mar 31, 2023","1,140.01","1,164.49","1,140.01","1,163.98","1,163.98","464,824,400"
52,"Mar 30, 2023","1,134.59","1,140.16","1,129.80","1,134.30","1,134.30","373,828,700"
53,"Mar 29, 2023","1,115.08","1,124.78","1,111.68","1,124.22","1,124.22","404,162,200"
54,"Mar 28, 2023","1,105.39","1,107.09","1,095.66","1,103.20","1,103.20","362,332,600"
55,"Mar 27, 2023","1,112.56","1,116.72","1,099.94","1,104.44","1,104.44","450,890,800"
56,"Mar 24, 2023","1,101.77","1,104.29","1,088.79","1,102.47","1,102.47","425,678,100"
57,"Mar 23, 2023","1,119.67","1,128.38","1,095.45","1,106.39","1,106.39","475,469,500"
58,"Mar 22, 2023","1,133.75","1,140.78","1,106.79","1,106.94","1,106.94","474,063,800"
59,"Mar 21, 2023","1,114.70","1,133.37","1,114.10","1,131.84","1,131.84","477,575,900"
